##4001166		
ABSTRACT	abstract	jj_nn1@_vv0@
.	.	y
Unionization	unionization	nn1_np1@
votes	vote	nn2
of	of	io
133	133	mc
members	member	nn2
of	of	io
an	a	at1
employee	employee	nn1
association	association	nn1
at	at	ii
a	a	at1
large	large	jj
,	,	y
midwestern	midwestern	jj
,	,	y
American	american	jj
university	university	nn1
were	be	vbdr
examined	examine	vvn
.	.	y
General	general	jj_nn1
beliefs	belief	nn2
,	,	y
specific	specific	jj
beliefs	belief	nn2
,	,	y
normative	normative	jj
pressures	pressure	nn2
(	(	y
co-workers	co-worker	nn2
,	,	y
family	family	nn1
,	,	y
and	and	cc
close	close	jj
friends	friend	nn2
)	)	y
,	,	y
and	and	cc
dissatisfaction	dissatisfaction	nn1
with	with	iw
the	the	at
employee	employee	nn1
association	association	nn1
influenced	influence	vvn_vvd@
votes	vote	nn2
for	for	if
unionization	unionization	nn1
.	.	y
Job	job	nn1
satisfaction	satisfaction	nn1
,	,	y
age	age	nn1_vv0@
,	,	y
race	race	nn1_vv0@
,	,	y
and	and	cc
gender	gender	nn1
did	do	vdd
not	not	xx
influence	influence	vvi
votes	vote	nn2
for	for	if
unionization	unionization	nn1
.	.	y
<p>	<p>	y
What	what	ddq
are	be	vbr
the	the	at
attitudes	attitude	nn2
of	of	io
members	member	nn2
of	of	io
employee	employee	nn1
associations	association	nn2
toward	toward	ii
unionization	unionization	nn1
?	?	y
Do	do	vd0
some	some	dd
employee	employee	nn1
associations	association	nn2
become	become	vv0
unions	union	nn2
?	?	y
A	a	at1_zz1
nationally	nationally	rr
representative	representative	jj
survey	survey	nn1
of	of	io
employees	employee	nn2
,	,	y
conducted	conduct	vvn
by	by	ii
Louis	louis	np1
Harris	harris	np1
and	and	cc
Associates	associate	nn2_vvz@
in	in	ii
1984	1984	mc
for	for	if
the	the	at
AFL-CIO	afl-cio	jj_nn1
Committee	committee	nn1
on	on	ii
the	the	at
Evolution	evolution	nn1
of	of	io
Work	work	nn1
(	(	y
1985	1985	mc
)	)	y
,	,	y
presented	present	vvd_vvn
some	some	dd
interesting	interesting	jj
findings	finding	nn2
on	on	ii
the	the	at
attitudes	attitude	nn2
of	of	io
nonunion	nonunion	nn1
workers	worker	nn2
in	in	ii
the	the	at
United	united	np1
States	state	np1
.	.	y
Although	although	cs
56%	56%	nnu
of	of	io
nonunion	nonunion	nn1
workers	worker	nn2
indicated	indicate	vvd_vvn
that	that	cst
they	they	pphs2
would	would	vm
join	join	vvi
an	a	at1
association	association	nn1
,	,	y
only	only	rr
37%	37%	nnu
indicated	indicate	vvd_vvn
that	that	cst
they	they	pphs2
would	would	vm
vote	vote	vvi
for	for	if
union	union	nn1
representation	representation	nn1
if	if	cs
an	a	at1
election	election	nn1
were	be	vbdr
held	hold	vvn
at	at	ii
their	their	appge
workplace	workplace	nn1
(	(	y
Ichniowski	ichniowski	np1
&;	&;	x
Zax	zax	np1_nn1
,	,	y
1990	1990	mc
)	)	y
.	.	y
<p>	<p>	y
Prior	prior	jj
research	research	nn1
has	have	vhz
suggested	suggest	vvn
that	that	cst
some	some	dd
associations	association	nn2
can	can	vm
become	become	vvi
unions	union	nn2
,	,	y
and	and	cc
the	the	at
AFL-CIO	afl-cio	jj_nn1
Committee	committee	nn1
on	on	ii
the	the	at
Evolution	evolution	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Yet	yet	rr
there	there	ex
is	be	vbz
debate	debate	nn1
about	about	ii
associations	association	nn2
and	and	cc
their	their	appge
linkage	linkage	nn1
to	to	ii
unions	union	nn2
.	.	y
Some	some	dd
academics	academic	nn2
and	and	cc
union	union	nn1
officials	official	nn2
believe	believe	vv0
that	that	cst
associations	association	nn2
can	can	vm
be	be	vbi
substitutes	substitute	nn2
for	for	if
unions	union	nn2
;	;	y
others	others	nn2
see	see	vv0
associations	association	nn2
