##4000077		
Research	research	nn1_vv0@
on	on	ii
Kona	kona	np1
slope	slope	nn1
shows	show	nn2_vvz
promise	promise	vv0_nn1
for	for	if
native	native	jj
ecosystem	ecosystem	nn1
recovery	recovery	nn1
<p>	<p>	y
A	a	at1
half-dozen	half-dozen	m
black	black	jj
feral	feral	jj_nn1
goats	goat	nn2
looked	look	vvd_vvn
up	up	rp
with	with	iw
a	a	at1
start	start	nn1
as	as	csa_ii@
Robert	robert	np1
Cabin	cabin	nn1
emerged	emerge	vvd_vvn@
from	from	ii
the	the	at
stand	stand	nn1
of	of	io
trees	tree	nn2
.	.	y
Wild	wild	jj
and	and	cc
wary	wary	jj
,	,	y
they	they	pphs2
had	have	vhd
been	be	vbn
scrounging	scrounge	vvg
for	for	if
food	food	nn1
in	in	ii
the	the	at
rough	rough	jj
lava	lava	nn1
field	field	nn1
on	on	ii
the	the	at
Kona	kona	np1_nn1@
slope	slope	nn1
of	of	io
the	the	at
island	island	nn1
of	of	io
Hawaii	hawaii	np1
.	.	y
<p>	<p>	y
"	"	y
There	there	ex
's	be	vbz
the	the	at
enemy	enemy	nn1
right	right	nn1_rr
there	there	rl
,	,	y
"	"	y
said	say	vvd
Cabin	cabin	nn1
(	(	y
pronounced	pronounced	jj
CAY-bin	cay-bin	nn1_jj
)	)	y
,	,	y
a	a	at1
plant	plant	nn1
ecologist	ecologist	nn1
with	with	iw
the	the	at
US	us	np1
Forest	forest	nn1
Service	service	nn1
's	's	ge
Institute	institute	nn1
of	of	io
Pacific	pacific	np1
Islands	island	nnl2
Forestry	forestry	nn1
,	,	y
in	in	ii
Hilo	hilo	np1
.	.	y
Almost	almost	rr
before	before	cs
he	he	pphs1
got	get	vvd
the	the	at
words	word	nn2
out	out	rp
,	,	y
the	the	at
goats	goat	nn2
turned	turn	vvn_vvd
and	and	cc
darted	dart	vvn
over	over	rp_ii
a	a	at1
ridge	ridge	nn1
and	and	cc
out	out	ii21
of	of	ii22
view	view	nn1
.	.	y
<p>	<p>	y
Goats	goat	nn2
,	,	y
pigs	pig	nn2
,	,	y
and	and	cc
other	other	jj
feral	feral	jj_nn1
ungulates	ungulate	nn2_vvz
,	,	y
or	or	cc
hooved	hooved	vvd_jj@
animals	animal	nn2
,	,	y
are	be	vbr
"	"	y
the	the	at
enemy	enemy	nn1
"	"	y
on	on	ii
the	the	at
Big	big	jj
Island	island	nn1
and	and	cc
elsewhere	elsewhere	rl
in	in	ii
Hawaii	hawaii	np1
because	because	cs
these	these	dd2
alien	alien	jj_nn1
(	(	y
nonnative	non-native	nn1_jj
)	)	y
species	species	nn
wreak	wreak	vv0
havoc	havoc	nn1
on	on	ii
forests	forest	nn2
and	and	cc
other	other	jj
ecosystems	ecosystem	nn2
,	,	y
eating	eat	vvg
native	native	jj
plants	plant	nn2
and	and	cc
digging	dig	vvg
up	up	rp_ii@
soil	soil	nn1
.	.	y
Ungulates	ungulate	nn2
are	be	vbr
a	a	at1
major	major	jj
reason	reason	nn1
Hawaii	hawaii	np1
is	be	vbz
the	the	at
extinction	extinction	nn1
capital	capital	nn1
of	of	io
the	the	at
United	united	np1
States	state	np1
.	.	y
With	with	iw
less	less	dar
than	than	csn
1	1	mc1
percent	percent	nnu
of	of	io
the	the	at
US	us	np1
land	land	nn1
mass	mass	nn1
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
nation	nation	nn1
's	be	vbz_ge_vhz@
endangered	endanger	vvn_jj
and	and	cc
rare	rare	jj
species	species	nn
.	.	y
More	more	dar
than	than	csn
1000	1000	mc
native	native	jj
Hawaiian	hawaiian	jj
species	species	nn
are	be	vbr
known	know	vvn
to	to	to
be	be	vbi
extinct	extinct	jj
.	.	y
<p>	<p>	y
The	the	at
particular	particular	jj
ecosystem	ecosystem	nn1
that	that	cst_dd1
concerns	concern	vvz
Cabin	cabin	nn1
is	be	vbz
the	the	at
tropical	tropical	jj
dry	dry	jj
forest	forest	nn1
.	.	y
The	the	at
dry	dry	jj
forests	forest	nn2
of	of	io
Hawaii	hawaii	np1
receive	receive	vv0
about	about	rg
20	20	mc
inches	inch	nnu2
of	of	io
rain	rain	nn1
a	a	at1
year	year	nnt1
,	,	y
while	while	cs
rain	rain	nn1
forests	forest	nn2
can	can	vm
get	get	vvi
about	about	rg
10	10	mc
times	time	nnt2
as	as	rg
much	much	da1_rr
.	.	y
On	on	ii
the	the	at
Hawaiian	hawaiian	jj
Islands	island	nn2
,	,	y
feral	feral	jj_nn1
ungulates	ungulate	nn2
,	,	y
cattle	cattle	nn2
ranching	ranching	nn1
,	,	y
alien	alien	jj_nn1
grasses	grass	nn2
,	,	y
and	and	cc
other	other	jj
biological	biological	jj
insults	insult	nn2
have	have	vh0
eliminated	eliminate	vvn
90	90	mc
percent	percent	nnu
of	of	io
the	the	at
state	state	nn1
's	's	ge_vbz
original	original	jj
dry	dry	jj
forests	forest	nn2
.	.	y
By	by	ii
comparison	comparison	nn1
,	,	y
about	about	rg
40	40	mc
percent	percent	nnu
of	of	io
Hawaii	hawaii	np1
's	's	ge
rain	rain	nn1
forests	forest	nn2
are	be	vbr
gone	go	vvn
.	.	y
<p>	<p>	y
But	but	ccb
here	here	rl
at	at	ii
a	a	at1
region	region	nn1
called	call	vvn
Kaupulehu	kaupulehu	np1
,	,	y
Cabin	cabin	nn1
and	and	cc
fellow	fellow	jj_nn1
biologists	biologist	nn2
and	and	cc
conservationists	conservationist	nn2
have	have	vh0
begun	begin	vvn
an	a	at1
important	important	jj
demonstration	demonstration	nn1
project	project	nn1
for	for	if
reclaiming	reclaim	vvg
Hawaii	hawaii	np1
's	's	ge_vbz
degraded	degraded	jj_vvn
dry	dry	jj
forests	forest	nn2
.	.	y
The	the	at
demonstration	demonstration	nn1
site	site	nn1
is	be	vbz
protected	protect	vvn
from	from	ii
ungulates	ungulate	nn2
by	by	ii
a	a	at1
fence	fence	nn1
.	.	y
In	in	ii
just	just	rr
a	a	at1
few	few	da2
years	year	nnt2
of	of	io
research	research	nn1
at	at	ii
the	the	at
site	site	nn1
,	,	y
the	the	at
biologists	biologist	nn2
have	have	vh0
begun	begin	vvn
to	to	to
assemble	assemble	vvi
much-needed	much-needed	jj
information	information	nn1
about	about	ii
how	how	rgq@_rrq
degraded	degraded	jj
forests	forest	nn2
respond	respond	vv0
to	to	ii
fencing	fence	vvg@_nn1
out	out	rp
the	the	at
enemy	enemy	nn1
and	and	cc
about	about	ii
what	what	ddq
other	other	jj
steps	step	nn2
may	may	vm
be	be	vbi
necessary	necessary	jj
for	for	if
restoring	restore	vvg
the	the	at
forests	forest	nn2
.	.	y
<p>	<p>	y
"	"	y
We	we	ppis2
're	be	vbr
standing	stand	vvg
among	among	ii
all	all	db
kinds	kind	nn2
