##4000550		
Whenever	whenever	rrqv
I	i	ppis1
read	read	vv0_vvd
about	about	ii_rp@
another	another	dd1
episode	episode	nn1
of	of	io
college	college	nn1
cheating	cheat	vvg_nn1@
,	,	y
I	i	ppis1
think	think	vv0
of	of	io
a	a	at1
scene	scene	nn1
in	in	ii
Rounders	rounders	nn1
,	,	y
a	a	at1
movie	movie	nn1
about	about	rg
two	two	mc
high-stakes	high-stakes	jj
poker	poker	nn1
buddies	buddy	nn2
who	who	pnqs
have	have	vh0
known	know	vvn
each	each	ppx221
other	other	ppx222
since	since	cs_ii@_rr@
high	high	jj
school	school	nn1
.	.	y
One	one	pn1_mc1
is	be	vbz
a	a	at1
character	character	nn1
played	play	vvn
by	by	ii
Matt	matt	np1
Damon	damon	np1
.	.	y
He	he	pphs1
's	be	vbz
a	a	at1
poker	poker	nn1
genius	genius	nn1
,	,	y
someone	someone	pn1
who	who	pnqs
calculates	calculate	vvz
odds	odds	nn2
with	with	iw
lightning	lightning	nn1_vvg@
precision	precision	nn1
and	and	cc
makes	make	vvz
precise	precise	jj
inferences	inference	nn2
from	from	ii
the	the	at
betting	betting	nn1
.	.	y
The	the	at
other	other	jj_nn1@
,	,	y
played	play	vvn
by	by	ii
Ed	ed	np1
Norton	norton	np1
,	,	y
is	be	vbz
a	a	at1
shady	shady	jj
character	character	nn1
who	who	pnqs
's	be	vhz
just	just	rr
finished	finish	vvn
a	a	at1
prison	prison	nn1
term	term	nn1
.	.	y
He	he	pphs1
's	be	vbz
also	also	rr
a	a	at1
superb	superb	jj
poker	poker	nn1
player	player	nn1
.	.	y
But	but	ccb
his	his	appge
specialty	specialty	nn1
is	be	vbz
systematic	systematic	jj
cheating	cheating	nn1@_jj@
,	,	y
dealing	deal	vvg
surreptitious	surreptitious	jj
winners	winner	nn2
--	--	x
"	"	y
hangers	hanger	nn2
,	,	y
"	"	y
in	in	ii
poker	poker	nn1
slang	slang	nn1
:	:	y
cards	card	nn2
dealt	deal	vvn_vvd
from	from	ii
the	the	at
middle	middle	nn1_jj
or	or	cc
bottom	bottom	nn1
of	of	io
the	the	at
deck	deck	nn1
--	--	x
to	to	ii
himself	himself	ppx1
or	or	cc
his	his	appge
partner	partner	nn1
.	.	y
<p>	<p>	y
Norton	norton	np1
's	's	ge
crooked	crooked	jj
dealing	dealings	nn1@
allows	allow	vvz
them	them	ppho2
to	to	to
clean	clean	vvi
out	out	rp
a	a	at1
bunch	bunch	nn1
of	of	io
rich	rich	jj
kids	kid	nn2
in	in	ii
a	a	at1
college	college	nn1
game	game	nn1
.	.	y
The	the	at
two	two	mc
buddies	buddy	nn2
then	then	rt
locate	locate	vv0
a	a	at1
weekly	weekly	jj
high-stakes	high-stakes	jj
game	game	nn1
played	play	vvn
by	by	ii
off-duty	off-duty	jj
state	state	nn1
cops	cop	nn2
.	.	y
The	the	at
cops	cop	nn2
,	,	y
unlike	unlike	ii@
the	the	at
college	college	nn1
kids	kid	nn2
,	,	y
are	be	vbr
n't	n't	xx
suckers	sucker	nn2
.	.	y
Norton	norton	np1
is	be	vbz
caught	catch	vvn
dealing	deal	vvg
a	a	at1
hanger	hanger	nn1
,	,	y
and	and	cc
a	a	at1
moment	moment	nn1
later	later	rrr_jjr
the	the	at
camera	camera	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
bloody	bloody	jj_rr
and	and	cc
bruised	bruise	vvn_jj
from	from	ii
the	the	at
beating	beating	nn1
they	they	pphs2
've	have	vh0
just	just	rr
been	be	vbn
given	give	vvn
by	by	ii
the	the	at
other	other	jj
poker	poker	nn1
players	player	nn2
.	.	y
<p>	<p>	y
There	there	ex
are	be	vbr
,	,	y
it	it	pph1
seems	seem	vvz
to	to	ii
me	me	ppio1
,	,	y
two	two	mc
levels	level	nn2
to	to	ii
this	this	dd1
scene	scene	nn1
.	.	y
The	the	at
first	first	md
is	be	vbz
the	the	at
obvious	obvious	jj
one	one	pn1
:	:	y
a	a	at1
weekly	weekly	jj
poker	poker	nn1
session	session	nnt1
is	be	vbz
what	what	ddq
is	be	vbz
called	call	vvn
a	a	at1
zero-sum	zero-sum	jj_nn1
game	game	nn1
.	.	y
If	if	cs
you	you	ppy
and	and	cc
I	i	ppis1
have	have	vh0
both	both	db2
put	put	vvn
our	our	appge
stakes	stake	nn2
into	into	ii
the	the	at
pot	pot	nn1
,	,	y
your	your	appge
cheating	cheating	nn1@_jj@
means	mean	vvz_nn
that	that	cst
you	you	ppy
are	be	vbr
,	,	y
in	in	ii
effect	effect	nn1
,	,	y
stealing	steal	vvg
from	from	ii
me	me	ppio1
.	.	y
It	it	pph1
's	be	vbz
a	a	at1
situation	situation	nn1
in	in	ii
which	which	ddq
everyone	everyone	pn1
has	have	vhz
a	a	at1
personal	personal	jj
stake	stake	nn1_vv0
in	in	rp@_ii
seeing	seeing	cs21
that	that	cs22
everyone	everyone	pn1
else	else	rr
stays	stay	vvz
honest	honest	jj
.	.	y
<p>	<p>	y
The	the	at
second	second	nnt1_md
is	be	vbz
less	less	rgr
obvious	obvious	jj
.	.	y
At	at	ii
a	a	at1
certain	certain	jj
deep	deep	jj
level	level	nn1
of	of	io
social	social	jj
consciousness	consciousness	nn1
,	,	y
there	there	ex
's	be	vbz
an	a	at1
almost	almost	rr
intuitive	intuitive	jj
sense	sense	nn1
that	that	cst_dd1
cheating	cheating	nn1@_vvg
threatens	threaten	vvz
the	the	at
whole	whole	jj
set	set	nn1
of	of	io
relations	relation	nn2
that	that	cst
allow	allow	vv0
groups	group	nn2
to	to	to
function	function	vvi
.	.	y
Children	child	nn2
know	know	vv0
this	this	dd1_rg%
instinctively	instinctively	rr
.	.	y
They	they	pphs2
react	react	vv0
loudly	loudly	rr
against	against	ii
other	other	jj
children	child	nn2
who	who	pnqs
cheat	cheat	vv0
at	at	ii
games	game	nn2
.	.	y
<p>	<p>	y
This	this	dd1
is	be	vbz
where	where	rrq_cs
the	the	at
parking-lot	parking-lot	jj_nn1
scene	scene	nn1
in	in	ii
Rounders	rounders	nn1
tells	tell	vvz
us	us	ppio2
something	something	pn1
about	about	ii
college	college	nn1
cheating	cheat	vvg_nn1@
.	.	y
It	it	pph1
's	be	vbz
essential	essential	jj
that	that	cst
Norton	norton	np1
was	be	vbdz
caught	catch	vvn
red-handed	red-handed	rr_jj
in	in	ii
a	a	at1
private	private	jj
game	game	nn1
,	,	y
one	one	pn1_mc1
in	in	ii
which	which	ddq
everyone	everyone	pn1
had	have	vhd
a	a	at1
stake	stake	nn1
in	in	ii
seeing	see	vvg
everyone	everyone	pn1
else	else	rr
obeyed	obey	vvd_vvn
the	the	at
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
as	as	cs21
though	though	cs22
by	by	ii
moral	moral	jj
instinct	instinct	nn1
,	,	y
why	why	rrq
cheating	cheating	nn1@
is	be	vbz
always	always	rr
an	a	at1
ugly	ugly	jj
practice	practice	nn1
.	.	y
When	when	cs_rrq
you	you	ppy
change	change	vv0
this	this	dd1
essential	essential	jj
element	element	nn1
,	,	y
everything	everything	pn1
else	else	rr
changes	change	vvz@_nn2
too	too	rr@
.	.	y
<p>	<p>	y
In	in	ii
the	the	at
days	day	nnt2
when	when	rrq
university	university	nn1
grades	grade	nn2
were	be	vbdr
given	give	vvn
out	out	rp
as	as	ii
an	a	at1
honest	honest	jj
measure	measure	nn1
of	of	io
academic	academic	jj_nn1@
and	and	cc
intellectual	intellectual	jj_nn1
performance	performance	nn1
,	,	y
cheating	cheat	vvg
on	on	ii_rp@
exams	exam	nn2
or	or	cc
papers	paper	nn2
was	be	vbdz
a	a	rr21@_at1
lot	lot	rr22_nn1
like	like	ii
the	the	at
poker	poker	nn1
game	game	nn1
in	in	ii
Rounders	rounders	nn1
,	,	y
a	a	at1
situation	situation	nn1
in	in	ii
which	which	ddq
everyone	everyone	pn1
was	be	vbdz
immediately	immediately	rr
aware	aware	jj
that	that	cst
people	people	nn
who	who	pnqs
cheated	cheat	vvd
were	be	vbdr
mocking	mocking	jj_vvg@
or	or	cc
disvaluing	disvaluing	vvg
the	the	at
achievement	achievement	nn1
of	of	io
those	those	dd2
who	who	pnqs
were	be	vbdr
acting	act	vvg
honestly	honestly	rr
.	.	y
<p>	<p>	y
Today	today	rt
,	,	y
all	all	db
this	this	dd1
has	have	vhz
changed	change	vvn
.	.	y
It	it	pph1
's	be	vbz
the	the	at
cheaters	cheater	nn2
who	who	pnqs
are	be	vbr
in	in	ii
control	control	nn1
of	of	io
the	the	at
moral	moral	jj
climate	climate	nn1
in	in	ii
which	which	ddq
exams	exam	nn2
are	be	vbr
given	give	vvn
and	and	cc
papers	paper	nn2
assigned	assign	vvn_vvd@
,	,	y
and	and	cc
students	student	nn2
who	who	pnqs
act	act	vv0
honorably	honorably	rr
are	be	vbr
very	very	rg
nearly	nearly	rr
paralyzed	paralyze	vvn
by	by	ii
a	a	at1
diffidence	diffidence	nn1
or	or	cc
timorousness	timorousness	nn1
about	about	ii
calling	call	vvg
public	public	jj_nn1
attention	attention	nn1
to	to	ii
what	what	ddq
is	be	vbz
going	go	vvg
on	on	rp@
.	.	y
<p>	<p>	y
A	a	at1
lot	lot	nn1
of	of	io
the	the	at
explanation	explanation	nn1
of	of	io
why	why	rrq
this	this	dd1
change	change	nn1
has	have	vhz
occurred	occur	vvn
,	,	y
it	it	pph1
seems	seem	vvz
to	to	ii
me	me	ppio1
,	,	y
has	have	vhz
to	to	to
do	do	vdi
with	with	iw
grade	grade	nn1
inflation	inflation	nn1
,	,	y
which	which	ddq
by	by	ii
taking	take	vvg
away	away	rl
all	all	db_rr@
legitimate	legitimate	jj
standards	standard	nn2
of	of	io
actual	actual	jj
performance	performance	nn1
has	have	vhz
turned	turn	vvn
cheating	cheat	vvg
into	into	ii
a	a	at1
matter	matter	nn1
of	of	io
"	"	y
beating	beat	vvg
the	the	at
system	system	nn1
.	.	y
"	"	y
To	to	to
understand	understand	vvi
how	how	rrq
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
private	private	jj
poker	poker	nn1
game	game	nn1
in	in	ii
Rounders	rounders	nn1
,	,	y
the	the	at
practice	practice	nn1
of	of	io
card-counting	card-counting	nn1_jj
in	in	ii
casino	casino	nn1
blackjack	blackjack	nn1
.	.	y
In	in	ii
1962	1962	mc
,	,	y
drawing	draw	vvg
on	on	ii_rp@
an	a	at1
analysis	analysis	nn1
published	publish	vvn
by	by	ii
a	a	at1
group	group	nn1
of	of	io
statisticians	statistician	nn2
,	,	y
