##4002466		
Key	key	jj_nn1
words	word	nn2
:	:	y
inquiry	inquiry	nn1
tasks	task	nn2
for	for	if
adolescents	adolescent	nn2
;	;	y
problem-centered	problem-centered	jj
social	social	jj
studies	study	nn2
;	;	y
concerns	concern	nn2
and	and	cc
interests	interest	nn2
of	of	io
young	young	jj
adults	adult	nn2
<p>	<p>	y
At	at	rr21
least	least	rr22
since	since	cs_ii@
John	john	np1
Dewey	dewey	np1
published	publish	vvd
his	his	appge
classic	classic	jj_nn1
works	works	nn_vvz
(	(	y
Dewey	dewey	np1
1916	1916	mc
1938	1938	mc
;	;	y
1933	1933	mc
;	;	y
1938	1938	mc
1963	1963	mc
)	)	y
,	,	y
teachers	teacher	nn2
have	have	vh0
been	be	vbn
urged	urge	vvn
to	to	to
engage	engage	vvi
students	student	nn2
by	by	ii
using	use	vvg
thinking	thinking	nn1_vvg
and	and	cc
inquiry	inquiry	nn1
tasks	task	nn2
that	that	cst
reflect	reflect	vv0
real-world	real-world	jj_nn1
concerns	concern	nn2
and	and	cc
interests	interest	nn2
.	.	y
Subsequent	subsequent	ii21
to	to	ii22
the	the	at
appearance	appearance	nn1
of	of	io
Dewey	dewey	np1
's	's	ge
discussions	discussion	nn2
of	of	io
that	that	dd1
pedagogical	pedagogical	jj
stance	stance	nn1
,	,	y
the	the	at
National	national	jj
Council	council	nn1
for	for	if
the	the	at
Social	social	jj
Studies	study	nn2
published	publish	vvd_vvn
The	the	at
Problems	problem	nn2
Approach	approach	nn1_vv0@
and	and	cc
the	the	at
Social	social	jj
Studies	study	nn2
in	in	ii
1955	1955	mc
and	and	cc
issued	issue	vvd_vvn
a	a	at1
revised	revised	jj
version	version	nn1
,	,	y
Problem-Centered	problem-centered	jj
Social	social	jj
Studies	study	nn2
Instruction	instruction	nn1
:	:	y
Approaches	approach	nn2_vvz
to	to	ii
Reflective	reflective	jj
Teaching	teaching	nn1@
,	,	y
in	in	ii
1971	1971	mc
(	(	y
Gross	gross	np1@_jj
and	and	cc
Muessig	muessig	vv0_np1_nn1
1971	1971	mc
)	)	y
.	.	y
More	more	rgr_rrr
recently	recently	rr
,	,	y
social	social	jj
science	science	nn1
education	education	nn1
