##4000152		
Section	section	nn1
:	:	y
Articles	article	nn2
<p>	<p>	y
We	we	ppis2
quantified	quantify	vvd
the	the	at
threats	threat	nn2
facing	face	vvg
488	488	mc
species	species	nn
in	in	ii
Canada	canada	np1
,	,	y
categorized	categorize	vvn
by	by	ii
COSEWIC	cosewic	np1
(	(	y
Committee	committee	nn1
on	on	ii
the	the	at
Status	status	nn1
of	of	io
Endangered	endangered	jj
Wildlife	wildlife	nn1
in	in	ii
Canada	canada	np1
)	)	y
as	as	csa_rg@
extinct	extinct	jj
,	,	y
extirpated	extirpate	vvd
,	,	y
endangered	endanger	vvn_jj_vvd@
,	,	y
threatened	threaten	vvd_vvn
,	,	y
or	or	cc
of	of	io
special	special	jj
concern	concern	nn1
.	.	y
Habitat	habitat	nn1
loss	loss	nn1
is	be	vbz
the	the	at
most	most	rgt
prevalent	prevalent	jj
threat	threat	nn1
(	(	y
84%	84%	nnu
)	)	y
,	,	y
followed	follow	vvn
by	by	ii
overexploitation	overexploitation	nn1
(	(	y
32%	32%	nnu
)	)	y
,	,	y
native	native	jj
species	species	nn
interactions	interaction	nn2
(	(	y
31%	31%	nnu
)	)	y
,	,	y
natural	natural	jj
causes	cause	nn2
(	(	y
27%	27%	nnu
)	)	y
,	,	y
pollution	pollution	nn1
(	(	y
26%	26%	nnu
)	)	y
,	,	y
and	and	cc
introduced	introduce	vvd_jj@_vvn
species	species	nn
(	(	y
22%	22%	nnu
)	)	y
.	.	y
Agriculture	agriculture	nn1
(	(	y
46%	46%	nnu
)	)	y
and	and	cc
urbanization	urbanization	nn1
(	(	y
44%	44%	nnu
)	)	y
are	be	vbr
the	the	at
most	most	rgt
common	common	jj
human	human	jj_nn1
activities	activity	nn2
causing	cause	vvg
habitat	habitat	nn1
loss	loss	nn1
and	and	cc
pollution	pollution	nn1
.	.	y
For	for	if
extant	extant	jj
species	species	nn
,	,	y
the	the	at
number	number	nn1
of	of	io
threats	threat	nn2
per	per	ii
species	species	nn
increases	increase	vvz_nn2
with	with	iw
the	the	at
level	level	nn1
of	of	io
endangerment	endangerment	nn1
.	.	y
The	the	at
prevalence	prevalence	nn1
of	of	io
threat	threat	nn1
types	type	nn2
varies	vary	vvz
among	among	ii
major	major	jj
habitats	habitat	nn2
,	,	y
with	with	iw
overexploitation	overexploitation	nn1
being	be	vbg
particularly	particularly	rr
important	important	jj
,	,	y
and	and	cc
introduced	introduce	vvd_jj@_vvn
species	species	nn
particularly	particularly	rr
unimportant	unimportant	jj
,	,	y
for	for	if
marine	marine	jj
species	species	nn
.	.	y
Introduced	introduced	jj@_vvn_vvd
species	species	nn
are	be	vbr
a	a	at1
much	much	rr
less	less	rgr
important	important	jj
threat	threat	nn1
in	in	ii
Canada	canada	np1
than	than	csn
in	in	ii
the	the	at
United	united	np1
States	state	np1
,	,	y
but	but	ccb
the	the	at
causes	cause	nn2
of	of	io
endangerment	endangerment	nn1
are	be	vbr
broadly	broadly	rr
similar	similar	jj
for	for	if
Canadian	canadian	nn1_jj
and	and	cc
globally	globally	rr
endangered	endangered	jj_vvn
species	species	nn
.	.	y
<p>	<p>	y
Keywords	keyword	nn2
:	:	y
endangered	endangered	jj
species	species	nn
;	;	y
threats	threat	nn2
;	;	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
are	be	vbr
altering	alter	vvg
the	the	at
natural	natural	jj
world	world	nn1
at	at	ii
an	a	at1
unprecedented	unprecedented	jj
scale	scale	nn1
,	,	y
causing	cause	vvg
global	global	jj
extinction	extinction	nn1
rates	rate	nn2_vvz@
to	to	to
rise	rise	vvi
by	by	ii
an	a	at1
estimated	estimated	jj@
three	three	mc
or	or	cc
four	four	mc
orders	order	nn2
of	of	io
magnitude	magnitude	nn1
(	(	y
Pimm	pimm	np1
et	et	ra21
al	al	ra22
.	.	y
1995	1995	mc
,	,	y
May	may	npm1
and	and	cc
Tregonning	tregonning	np1_vvg
1998	1998	mc
)	)	y
.	.	y
A	a	at1_zz1
worldwide	worldwide	jj
effort	effort	nn1
to	to	to
slow	slow	vvi
or	or	cc
stop	stop	vvi
this	this	dd1
loss	loss	nn1
