##4080550		
Kai	kai	np1
Bird	bird	np1
's	's	ge_vbz
formative	formative	jj
years	year	nnt2
in	in	ii
the	the	at
Middle	middle	jj
East	east	nd1
were	be	vbdr
not	not	xx
exactly	exactly	rr
the	the	at
stuff	stuff	nn1
of	of	io
Leave	leave	nn1_vv0
It	it	pph1_nn1@
to	to	ii
Beaver	beaver	np1
:	:	y
he	he	pphs1
learned	learn	vvd
to	to	to
check	check	vvi
his	his	appge
shoes	shoe	nn2
every	every	at1
morning	morning	nnt1
for	for	if
scorpions	scorpion	nn2
;	;	y
had	have	vhd
to	to	to
negotiate	negotiate	vvi
Jordanian	jordanian	jj_nn1@
,	,	y
UN	un	np1
,	,	y
and	and	cc
Israeli	israeli	jj_nn1
checkpoints	checkpoint	nn2_vvz
on	on	ii
his	his	appge
way	way	nn1
to	to	ii
school	school	nn1
;	;	y
went	go	vvd
to	to	ii
sleep	sleep	nn1
on	on	ii
occasion	occasion	nn1
to	to	ii
the	the	at
rat-a-tat-tat	rat-a-tat-tat	nn1
of	of	io
machine	machine	nn1
guns	gun	nn2
;	;	y
was	be	vbdz
evacuated	evacuate	vvn
from	from	ii
East	east	np1
Jerusalem	jerusalem	np1
to	to	ii
Beirut	beirut	np1
during	during	ii
the	the	at
1956	1956	mc
Suez	suez	np1
War	war	nn1
,	,	y
and	and	cc
again	again	rt
from	from	ii
Cairo	cairo	np1
to	to	ii
Greece	greece	np1
in	in	ii
the	the	at
1967	1967	mc
war	war	nn1
;	;	y
and	and	cc
had	have	vhd_vhn@
a	a	at1
girlfriend	girlfriend	nn1
whose	whose	ddqge
jetliner	jetliner	nn1
was	be	vbdz
hijacked	hijack	vvn@_jj@
and	and	cc
blown	blow	vvn
up	up	rp
by	by	ii
Palestinian	palestinian	jj_nn1
terrorists	terrorist	nn2
in	in	ii
1970	1970	mc
.	.	y
Oh	oh	uh
,	,	y
and	and	cc
his	his	appge
mother	mother	nn1
used	use	vmk
to	to	to
play	play	vvi
Joan	joan	np1
Baez	baez	np1
and	and	cc
Bob	bob	np1
Dylan	dylan	np1
songs	song	nn2
on	on	ii
the	the	at
guitar	guitar	nn1
in	in	ii
her	her	appge_ppho1
Riyadh	riyadh	np1
home	home	rl_nn1
with	with	iw
Salem	salem	np1
bin	bin	np
Laden	laden	vvn_jj
,	,	y
Osama	osama	np1
's	's	ge
older	old	jjr
brother	brother	nn1
.	.	y
That	that	dd1
's	be	vbz
fodder	fodder	nn1
enough	enough	rr
for	for	if
an	a	at1
engrossing	engrossing	jj@_nn1@
memoir	memoir	nn1
.	.	y
But	but	ccb
Bird	bird	np1_nn1
has	have	vhz
loftier	lofty	jjr
goals	goal	nn2
.	.	y
A	a	zz1_at1
Pulitzer	pulitzer	np1_nn1@
Prize-winning	prize-winning	jj
journalist	journalist	nn1
who	who	pnqs
has	have	vhz
made	make	vvn
a	a	at1
career	career	nn1
of	of	io
going	go	vvg
mano	mano	nn1
a	a	at1
mano	mano	nn1
with	with	iw
the	the	at
dead	dead	rg
white	white	jj
males	male	nn2
of	of	io
the	the	at
eastern	eastern	jj
Establishment	establishment	nn1
,	,	y
he	he	pphs1
wrote	write	vvd
this	this	dd1
book	book	nn1
"	"	y
in	in	ii
large	large	jj
part	part	nn1
to	to	to
understand	understand	vvi
why	why	rrq
the	the	at
Middle	middle	jj
East	east	nd1
of	of	io
my	my	appge
childhood	childhood	nn1
seems	seem	vvz
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Crossing	cross	vvg
Mandelbaum	mandelbaum	np1
Gate	gate	nn1
is	be	vbz
a	a	at1
gesture	gesture	nn1
of	of	io
atonement	atonement	nn1
for	for	if
a	a	at1
stone	stone	nn1
left	leave	vvd_vvn_jj
unturned	unturned	jj
:	:	y
for	for	if
much	much	da1
of	of	io
his	his	appge
career	career	nn1
,	,	y
Bird	bird	np1_nn1
pointedly	pointedly	rr
avoided	avoid	vvn_vvd
grappling	grapple	vvg_jj
with	with	iw
the	the	at
region	region	nn1
.	.	y
The	the	at
book	book	nn1
also	also	rr
encompasses	encompass	vvz
Bird	bird	np1_nn1
's	's	ge
attempt	attempt	nn1
to	to	to
confront	confront	vvi
larger	large	jjr
questions	question	nn2
of	of	io
identity	identity	nn1
,	,	y
whether	whether	csw
those	those	dd2
embedded	embed	vvn
in	in	ii
the	the	at
cultural	cultural	jj
miscegenations		nn2
of	of	io
the	the	at
modern	modern	jj
Middle	middle	jj
East	east	nd1
or	or	cc
those	those	dd2
embedded	embed	vvn
in	in	ii
the	the	at
jumbled	jumbled	jj@
allegiances	allegiance	nn2
of	of	io
a	a	at1
boy	boy	nn1
plucked	pluck	vvn_vvd
out	out	ii21
of	of	ii22
Oregon	oregon	np1
to	to	to
tag	tag	vvi
along	along	rp
in	in	ii
the	the	at
baggage	baggage	nn1
train	train	nn1
of	of	io
Pax	pax	nn121
Americana	americana	nn122
.	.	y
I	i	ppis1
can	can	vm
understand	understand	vvi
the	the	at
inclination	inclination	nn1
to	to	to
avoid	avoid	vvi
reckoning	reckon	vvg_nn1
with	with	iw
the	the	at
Middle	middle	jj
East	east	nd1
.	.	y
Even	even	rr
as	as	ii_csa
a	a	at1
Foreign	foreign	jj
Service	service	nn1
Officer	officer	nn1
,	,	y
and	and	cc
later	later	rrr_jjr
as	as	ii
the	the	at
executive	executive	nn1_jj@
editor	editor	nn1
of	of	io
Foreign	foreign	jj
Policy	policy	nn1
magazine	magazine	nn1
,	,	y
I	i	ppis1
thought	think	vvd
of	of	io
the	the	at
strife	strife	nn1
between	between	ii
Israel	israel	np1
and	and	cc
its	its	z'
neighbors	neighbor	nn2
as	as	ii_csa
a	a	at1
second-tier	second-tier	jj_nn1
incubus	incubus	nn1
that	that	cst
sapped	sap	vvd
the	the	at
energy	energy	nn1
and	and	cc
attention	attention	nn1
of	of	io
American	american	jj
policymakers	policymaker	nn2
and	and	cc
an	a	at1
intractable	intractable	jj
,	,	y
insiders-only	insiders-only	jj
dispute	dispute	nn1
that	that	cst
defied	defy	vvd
rational	rational	jj
discussion	discussion	nn1
.	.	y
Bird	bird	np1@_nn1
's	's	ge
book	book	nn1
has	have	vhz
n't	n't	xx
entirely	entirely	rr
cured	cure	vvn
me	me	ppio1
of	of	io
that	that	dd1
view	view	nn1
.	.	y
But	but	ccb
with	with	iw
its	its	z'
engaging	engaging	jj
and	and	cc
insightful	insightful	jj
reminiscences	reminiscence	nn2
of	of	io
growing	grow	vvg
up	up	rp
in	in	ii
Jerusalem	jerusalem	np1
,	,	y
Dhahran	dhahran	np1_nn1
,	,	y
and	and	cc
Cairo	cairo	np1
,	,	y
its	its	z'
sharp	sharp	jj
portraits	portrait	nn2
of	of	io
half-forgotten	half-forgotten	jj_nn1
figures	figure	nn2
like	like	ii
Israeli	israeli	jj
Prime	prime	jj
Minister	minister	nn1
Moshe	moshe	np1
Sharett	sharett	np1
(	(	y
whose	whose	ddqge
diplomatic	diplomatic	jj
efforts	effort	nn2
were	be	vbdr
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
of	of	io
Bird	bird	np1_nn1
's	's	ge
own	own	da
quest	quest	nn1
to	to	to
make	make	vvi
peace	peace	nn1
with	with	iw
his	his	appge
past	past	nn1_jj
,	,	y
Crossing	cross	vvg
Mandelbaum	mandelbaum	np1
Gate	gate	nn1
is	be	vbz
