##1002054		
Beyond	beyond	ii
the	the	at
Garden	garden	nn1
<p>	<p>	y
He	he	pphs1
knew	know	vvd
he	he	pphs1
wanted	want	vvd
to	to	to
taste	taste	vvi
to	to	ii
that	that	dd1
fruit	fruit	nn
as	as	rg
badly	badly	rr
as	as	csa
she	she	pphs1
did	do	vdd
.	.	y
On	on	ii
his	his	appge
own	own	da
,	,	y
he	he	pphs1
would	would	vm
have	have	vhi
come	come	vvn
round	round	rp
to	to	ii
it	it	pph1
in	in	ii
time	time	nnt1
,	,	y
terrified	terrify	vvn_jj
though	though	cs
he	he	pphs1
was	be	vbdz
by	by	ii
his	his	appge
father	father	nn1
's	's	ge
commands	command	nn2
.	.	y
But	but	ccb
since	since	cs
her	her	appge
arrival	arrival	nn1
,	,	y
he	he	pphs1
had	have	vhd
lost	lose	vvn
the	the	at
habit	habit	nn1
of	of	io
fetching	fetch	vvg
his	his	appge
own	own	da
food	food	nn1
.	.	y
Instinctively	instinctively	rr
,	,	y
it	it	pph1
seemed	seem	vvd
,	,	y
she	she	pphs1
gave	give	vvd
him	him	ppho1
part	part	nn1
of	of	io
whatever	whatever	ddqv
fruits	fruit	nn2
she	she	pphs1
picked	pick	vvd
for	for	if
herself	herself	ppx1
,	,	y
till	till	cs
it	it	pph1
came	come	vvd
to	to	to
seem	seem	vvi
instinctive	instinctive	jj
in	in	ii
him	him	ppho1
to	to	to
wait	wait	vvi
.	.	y
(	(	y
Besides	besides	rr
,	,	y
he	he	pphs1
enjoyed	enjoy	vvd
watching	watch	vvg
her	her	ppho1_appge
climb	climb	vv0_nn1
the	the	at
trees	tree	nn2
.	.	y
)	)	y
Very	very	rg
possibly	possibly	rr
,	,	y
he	he	pphs1
admitted	admit	vvd
in	in	ii
the	the	at
privacy	privacy	nn1
of	of	io
his	his	appge
heart	heart	nn1
,	,	y
he	he	pphs1
had	have	vhd
been	be	vbn
waiting	wait	vvg
for	for	if
that	that	dd1
very	very	jj
fruit	fruit	nn
.	.	y
<p>	<p>	y
So	so	rr
from	from	ii
the	the	at
moment	moment	nn1
he	he	pphs1
betrayed	betray	vvd
her	her	ppho1
to	to	ii
his	his	appge
father	father	nn1
-	-	-
the	the	at
thundering	thundering	nn1@_jj@
,	,	y
awesome	awesome	jj
voice	voice	nn1
that	that	cst_dd1
must	must	vm
come	come	vvi
from	from	ii
an	a	at1
equally	equally	rr
awesome	awesome	jj
shape	shape	nn1
,	,	y
or	or	cc
shamelessness	shamelessness	nn1
-	-	-
he	he	pphs1
felt	feel	vvd
slightly	slightly	rr
ashamed	ashamed	jj
,	,	y
an	a	at1
unfamiliar	unfamiliar	jj
,	,	y
unwelcome	unwelcome	jj
feeling	feeling	nn1
.	.	y
Ashamed	ashamed	jj
not	not	xx
of	of	io
eating	eating	nn1_vvg
but	but	ccb
of	of	io
the	the	at
telling	telling	nn1@_jj@
.	.	y
Of	of	rr21
course	course	rr22
his	his	appge
father	father	nn1
would	would	vm
have	have	vhi
found	find	vvn
out	out	rp
(	(	y
he	he	pphs1
knew	know	vvd
everything	everything	pn1
yet	yet	rr
seemed	seem	vvd_vvn@
to	to	to
relish	relish	vvi
humiliating	humiliate	vvg%
him	him	ppho1
by	by	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
shifty	shifty	jj
guilt	guilt	nn1
each	each	dd1
time	time	nnt1
he	he	pphs1
looked	look	vvd
at	at	ii
her	her	ppho1
or	or	cc
touched	touch	vvd
her	her	ppho1
,	,	y
a	a	at1
guilt	guilt	nn1
more	more	rgr
particular	particular	jj
and	and	cc
acute	acute	jj
than	than	csn
a	a	at1
vague	vague	jj
,	,	y
encompassing	encompass	vvg
guilt	guilt	nn1
he	he	pphs1
felt	feel	vvd
in	in	ii_rp@
his	his	appge
father	father	nn1
's	's	ge
presence	presence	nn1
.	.	y
And	and	cc
she	she	pphs1
certainly	certainly	rr
did	do	vdd
n't	n't	xx
make	make	vvi
things	thing	nn2
any	any	rr%
easier	easy	rrr
:	:	y
Docile	docile	jj_np1
acceptance	acceptance	nn1
was	be	vbdz
not	not	xx
in	in	ii
her	her	appge
nature	nature	nn1
,	,	y
in	in	ii
the	the	at
beginning	beginning	nn1
,	,	y
at	at	ii
any	any	dd
rate	rate	nn1
.	.	y
She	she	pphs1
railed	rail	vvd
and	and	cc
stormed	storm	vvd
about	about	ii
loyalty	loyalty	nn1
,	,	y
and	and	cc
said	say	vvd
being	be	vbg
a	a	at1
helpmeet	helpmeet	nn1
worked	work	vvn
both	both	db2
ways	way	nn2
,	,	y
he	he	pphs1
utterly	utterly	rr
failed	fail	vvn_vvd
to	to	to
understand	understand	vvi
her	her	ppho1_appge
being	be	vbg
with	with	iw
him	him	ppho1
and	and	cc
all	all	db_rr@
it	it	pph1
implied	imply	vvd
....	....	...
Like	like	ii_vv0@
his	his	appge
father	father	nn1
,	,	y
she	she	pphs1
had	have	vhd
words	word	nn2
at	at	ii
her	her	appge
command	command	nn1
,	,	y
piercingly	piercingly	rr
direct	direct	jj
words	word	nn2
,	,	y
and	and	cc
the	the	at
more	more	rrr
she	she	pphs1
spoke	speak	vvd
the	the	at
worse	bad	rrr@_nn1%
he	he	pphs1
