##1002573		
FINAL	final	jj_nn1
FORM	form	nn1
<p>	<p>	y
I	i	ppis1
filled	fill	vvd
a	a	at1
bowl	bowl	nn1
with	with	iw
water	water	nn1
,	,	y
wet	wet	vvd@_vv0@
my	my	appge
hands	hand	nn2
,	,	y
and	and	cc
ran	run	vvd
them	them	ppho2
over	over	ii_rp
the	the	at
surface	surface	nn1
of	of	io
the	the	at
cold	cold	jj_nn1
clay	clay	nn1
,	,	y
pushing	push	vvg
my	my	appge
fingers	finger	nn2
into	into	ii
it	it	pph1
,	,	y
wondering	wonder	vvg
what	what	ddq
shape	shape	nn1
it	it	pph1
would	would	vm
take	take	vvi
.	.	y
I	i	ppis1_mc1@
thought	think	vvd
of	of	io
a	a	at1
rock	rock	nn1
encrusted	encrust	vvn
with	with	iw
mollusks	mollusk	nn2
,	,	y
but	but	ccb
I	i	ppis1
was	be	vbdz
tired	tired	jj
of	of	io
marine	marine	jj
life	life	nn1
.	.	y
I	i	ppis1
had	have	vhd
already	already	rr
attempted	attempt	vvn
a	a	at1
sea	sea	nn1
urchin	urchin	nn1
the	the	at
day	day	nnt1
before	before	cs_ii
yesterday	yesterday	rt
and	and	cc
a	a	at1
fish	fish	nn
last	last	md
week	week	nnt1
.	.	y
"	"	y
I	i	ppis1
like	like	vv0
your	your	appge
people	people	nn
,	,	y
"	"	y
Phillip	phillip	np1
had	have	vhd
said	say	vvn
.	.	y
"	"	y
Make	make	vv0
it	it	pph1
a	a	at1
person	person	nn1
.	.	y
"	"	y
<p>	<p>	y
"	"	y
I	i	ppis1
'm	be	vbm
already	already	rr
making	make	vvg
a	a	at1
person	person	nn1
,	,	y
"	"	y
I	i	ppis1
had	have	vhd
said	say	vvn
,	,	y
touching	touch	vvg
my	my	appge
swelling	swelling	jj
abdomen	abdomen	nn1
.	.	y
Lately	lately	rr
,	,	y
when	when	cs_rrq
I	i	ppis1
was	be	vbdz
sculpting	sculpt	vvg
,	,	y
my	my	appge
stomach	stomach	nn1
got	get	vvd_vvn
as	as	rg@_csa_ii@
dirty	dirty	jj_rr@
with	with	iw
clay	clay	nn1
as	as	csa_ii@
my	my	appge
hands	hand	nn2
and	and	cc
forearms	forearm	nn2_vvz
.	.	y
The	the	at
clay	clay	nn1
would	would	vm
soak	soak	vvi
through	through	ii_rp@
my	my	appge
shirt	shirt	nn1
and	and	cc
fasten	fasten	vvi
it	it	pph1
to	to	ii
my	my	appge
skin	skin	nn1
like	like	ii
papier	papier	jjr
mch	mch	nnu
.	.	y
Sometimes	sometimes	rt
I	i	ppis1
gave	give	vvd
up	up	rp
and	and	cc
worked	work	vvd_vvn
topless	topless	jj
.	.	y
"	"	y
You	you	ppy
're	be	vbr
teaching	teach	vvg
the	the	at
kid	kid	nn1
art	art	nn1
through	through	ii
osmosis	osmosis	nn1
,	,	y
"	"	y
Phillip	phillip	np1
said	say	vvd
one	one	mc1
day	day	nnt1
when	when	rrq
he	he	pphs1
came	come	vvd
into	into	ii
the	the	at
Light	light	jj_nn1
Room	room	nn1
to	to	to
find	find	vvi
me	me	ppio1
creating	create	vvg
happily	happily	rr
,	,	y
naked	naked	jj
from	from	ii
the	the	at
waist	waist	nn1
up	up	rp
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
.	.	y
<p>	<p>	y
But	but	ccb
this	this	dd1
morning	morning	nnt1
,	,	y
the	the	at
Light	light	jj_nn1
Room	room	nn1
was	be	vbdz
chilly	chilly	jj
,	,	y
and	and	cc
I	i	ppis1
kept	keep	vvd
my	my	appge
t-shirt	t-shirt	nn1
on	on	rp@_ii
as	as	csa
I	i	ppis1
worked	work	vvd
the	the	at
clay	clay	nn1
,	,	y
coaxing	coax	vvg
the	the	at
moisture	moisture	nn1
through	through	ii
it	it	pph1
with	with	iw
the	the	at
pads	pad	nn2
of	of	io
my	my	appge
strong	strong	jj
fingers	finger	nn2
.	.	y
What	what	ddq
shape	shape	nn1
today	today	rt
?	?	y
Would	would	vm
I	i	ppis1
destroy	destroy	vvi
it	it	pph1
,	,	y
telling	tell	vvg
my	my	appge
self	self	nn1
that	that	cst
it	it	pph1
was	be	vbdz
all	all	db_rr@
wrong	wrong	jj
,	,	y
that	that	cst
I	i	ppis1
could	could	vm
never	never	rr
be	be	vbi
happy	happy	jj
with	with	iw
this	this	dd1
as	as	csa_ii@
my	my	appge
last	last	md
piece	piece	nn1
?	?	y
<p>	<p>	y
I	i	ppis1
did	do	vdd
n't	n't	xx
think	think	vvi
I	i	ppis1
could	could	vm
be	be	vbi
a	a	at1
good	good	jj
artist	artist	nn1
and	and	cc
a	a	at1
good	good	jj
mother	mother	nn1
at	at	ii
the	the	at
same	same	da
time	time	nnt1
.	.	y
I	i	ppis1
did	do	vdd
n't	n't	xx
particularly	particularly	rr
like	like	vvi
to	to	to
leave	leave	vvi
the	the	at
phone	phone	nn1
hooked	hook	vvn_vvd@
up	up	rp
when	when	cs_rrq
I	i	ppis1
was	be	vbdz
working	work	vvg
