##1003056		
Granite	granite	nn1
Dreams	dream	nn2
.	.	y
<p>	<p>	y
At	at	ii
night	night	nnt1
,	,	y
spirits	spirit	nn2
sometimes	sometimes	rt
rises	rise	vvz
from	from	ii
the	the	at
river	river	nn1
and	and	cc
,	,	y
spreading	spread	vvg
their	their	appge
wings	wing	nn2
,	,	y
disappear	disappear	vv0
into	into	ii
the	the	at
desert	desert	nn1
.	.	y
When	when	cs
this	this	dd1
happens	happen	vvz
,	,	y
the	the	at
nocturnal	nocturnal	jj
creatures	creature	nn2
stop	stop	vv0
their	their	appge
movement	movement	nn1
,	,	y
and	and	cc
all	all	db
the	the	at
players	player	nn2
in	in	ii
the	the	at
mystery	mystery	nn1
fall	fall	vv0_nn1
deadly	deadly	jj_rg%
silent	silent	jj
.	.	y
<p>	<p>	y
Or	or	cc
so	so	rr
Hortense	hortense	vv0_np1
,	,	y
the	the	at
postmistress	postmistress	nn1
,	,	y
had	have	vhd
believed	believe	vvn
for	for	if
forty	forty	mc
years	year	nnt2
.	.	y
Ever	ever	rr
since	since	cs
that	that	dd1
night	night	nnt1
almost	almost	rr
a	a	at1
lifetime	lifetime	nnt1
ago	ago	ra
,	,	y
when	when	cs_rrq
Nathan	nathan	np1
had	have	vhd
disappeared	disappear	vvn
at	at	ii
the	the	at
river	river	nn1
's	's	ge
edge	edge	nn1
.	.	y
She	she	pphs1
had	have	vhd
been	be	vbn
witness	witness	nn1
to	to	ii
the	the	at
spirits	spirit	nn2
'	'	ge
capers	caper	nn2
and	and	cc
had	have	vhd
locked	lock	vvn
their	their	appge
secret	secret	nn1_jj
deep	deep	rr_jj_nn1@
inside	inside	rl_nn1@
.	.	y
<p>	<p>	y
She	she	pphs1
was	be	vbdz
seventeen	seventeen	mc
at	at	ii
the	the	at
time	time	nnt1
,	,	y
and	and	cc
Nathan	nathan	np1
and	and	cc
she	she	pphs1
had	have	vhd
just	just	rr
been	be	vbn
married	married	jj_vvn%
.	.	y
It	it	pph1
was	be	vbdz
n't	n't	xx
a	a	at1
marriage	marriage	nn1
of	of	io
love	love	nn1
and	and	cc
hope	hope	nn1_vv0
.	.	y
In	in	ii
her	her	appge
mother	mother	nn1
's	's	ge
eyes	eye	nn2
,	,	y
and	and	cc
in	in	ii
the	the	at
eyes	eye	nn2
of	of	io
all	all	db
the	the	at
other	other	jj
people	people	nn
living	live	vvg_nn1
in	in	ii
the	the	at
small	small	jj
town	town	nn1
bordering	border	vvg
the	the	at
desert	desert	nn1
,	,	y
there	there	ex
was	be	vbdz
no	no	at
other	other	jj
remedy	remedy	nn1
.	.	y
She	she	pphs1
was	be	vbdz
pregnant	pregnant	jj
.	.	y
<p>	<p>	y
It	it	pph1
had	have	vhd
been	be	vbn
Nathan	nathan	np1
's	's	ge
idea	idea	nn1
to	to	to
take	take	vvi
horses	horse	nn2
down	down	ii
the	the	at
river	river	nn1
for	for	if
a	a	at1
honeymoon	honeymoon	nn1
trip	trip	nn1
.	.	y
"	"	y
We	we	ppis2
can	can	vm
follow	follow	vvi
it	it	pph1
out	out	ii21
of	of	ii22
the	the	at
mountains	mountain	nn2
and	and	cc
onto	onto	ii
the	the	at
desert	desert	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
I	i	ppis1
've	have	vh0
always	always	rr
wanted	want	vvn
to	to	to
go	go	vvi
out	out	rp
there	there	rl
,	,	y
and	and	cc
I	i	ppis1
guess	guess	vv0
this	this	dd1
is	be	vbz
my	my	appge
last	last	md
chance	chance	nn1
.	.	y
My	my	appge
daddy	daddy	nn1
says	say	vvz
there	there	ex
's	be	vbz
good	good	jj
fishing	fishing	nn1
and	and	cc
hunting	hunting	nn1
,	,	y
and	and	cc
no	no	pn121
one	one	pn122
's	be	vbz
around	around	rp
.	.	y
It	it	pph1
'll	will	vm
make	make	vvi
a	a	at1
great	great	jj
place	place	nn1
to	to	to
spend	spend	vvi
a	a	at1
week	week	nnt1
.	.	y
"	"	y
<p>	<p>	y
Hortense	hortense	np1@_nn1
had	have	vhd
always	always	rr
dreamed	dream	vvn
of	of	io
going	go	vvg
to	to	ii
Paris	paris	np1
or	or	cc
London	london	np1
or	or	cc
even	even	rr
Budapest	budapest	np1
for	for	if
a	a	at1
honeymoon	honeymoon	nn1
.	.	y
She	she	pphs1
had	have	vhd
nurtured	nurture	vvn
the	the	at
dream	dream	nn1
since	since	cs_ii@
childhood	childhood	nn1
.	.	y
Though	though	cs
she	she	pphs1
desperately	desperately	rr
wanted	want	vvn_vvd
to	to	to
see	see	vvi
the	the	at
world	world	nn1
outside	outside	ii
the	the	at
desert	desert	nn1
,	,	y
she	she	pphs1
doubted	doubt	vvd
it	it	pph1
would	would	vm
ever	ever	rr
happen	happen	vvi
.	.	y
She	she	pphs1
had	have	vhd
no	no	at
idea	idea	nn1
at	at	rr21
all	all	rr22
what	what	ddq
sort	sort	nn1_rr21@
of	of	io_rr22
dreams	dream	nn2
Nathan	nathan	np1
might	might	vm
have	have	vhi
had	have	vhn@
about	about	ii
life	life	nn1
.	.	y
<p>	<p>	y
He	he	pphs1
gave	give	vvd
his	his	appge
horse	horse	nn1
a	a	at1
kick	kick	nn1
and	and	cc
started	start	vvd
down	down	rp_ii@
the	the	at
trail	trail	nn1
.	.	y
Hortense	hortense	np1@_nn1_vv0
followed	follow	vvd
with	with	iw
the	the	at
pack	pack	nn1
horse	horse	nn1
.	.	y
<p>	<p>	y
It	it	pph1
was	be	vbdz
early	early	jj_rr
spring	spring	nn1
,	,	y
and	and	cc
a	a	at1
shower	shower	nn1
hand	hand	nn1
turned	turn	vvd
the	the	at
bare	bare	jj
desert	desert	nn1
into	into	ii
a	a	at1
riot	riot	nn1
of	of	io
life	life	nn1
.	.	y
For	for	if
miles	mile	nnu2
,	,	y
blossoms	blossom	nn2
screamed	scream	vvd_vvn
orange	orange	jj_nn1
and	and	cc
red	red	jj_nn1
.	.	y
Willows	willow	nn2
and	and	cc
cottonwood	cottonwood	nn1
and	and	cc
tamarack	tamarack	nn1
grew	grow	vvd
along	along	ii_rp
the	the	at
river	river	nn1
bank	bank	nn1
,	,	y
and	and	cc
creatures	creature	nn2
were	be	vbdr
hiding	hide	vvg
behind	behind	ii
the	the	at
fresh	fresh	jj
growth	growth	nn1
.	.	y
<p>	<p>	y
Hortense	hortense	vv0_nn1_np1@
and	and	cc
Nathan	nathan	np1
rode	ride	vvd
on	on	rp@_ii
silently	silently	rr
.	.	y
Occasionally	occasionally	rr
,	,	y
one	one	mc1
of	of	io
them	them	ppho2
would	would	vm
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
down	down	rp
at	at	ii
the	the	at
river	river	nn1
,	,	y
but	but	ccb
they	they	pphs2
did	do	vdd
little	little	da1_rr
talking	talking	nn1@_vvg
.	.	y
Hortense	hortense	nn1_vv0_np1@
could	could	vm
already	already	rr
see	see	vvi
that	that	cst
their	their	appge
relationship	relationship	nn1
had	have	vhd
been	be	vbn
defined	define	vvn
by	by	ii
the	the	at
desert	desert	nn1
and	and	cc
the	the	at
small	small	jj
town	town	nn1
which	which	ddq
scraped	scrape	vvd
an	a	at1
existence	existence	nn1
on	on	ii
its	its	z'
border	border	nn1
.	.	y
The	the	at
thought	thought	nn1
did	do	vdd
not	not	xx
make	make	vvi
her	her	appge_ppho1
happy	happy	jj
.	.	y
This	this	dd1
was	be	vbdz
not	not	xx
her	her	appge
vision	vision	nn1
off	off	ii
what	what	ddq
life	life	nn1
should	should	vm
be	be	vbi
and	and	cc
especially	especially	rr
what	what	ddq
her	her	appge
life	life	nn1
should	should	vm
be	be	vbi
.	.	y
<p>	<p>	y
She	she	pphs1
watched	watch	vvd
Nate	nate	nn1
riding	ride	vvg
the	the	at
horse	horse	nn1
in	in	ii31
front	front	ii32
of	of	ii33
her	her	ppho1
,	,	y
his	his	appge
rifle	rifle	nn1
hanging	hang	vvg_nn1
from	from	ii
its	its	z'
case	case	nn1
on	on	ii
the	the	at
side	side	nn1
of	of	io
the	the	at
saddle	saddle	nn1
,	,	y
and	and	cc
she	she	pphs1
wondered	wonder	vvd
again	again	rt
what	what	ddq
had	have	vhd
caused	cause	vvn
her	her	ppho1
to	to	to
sell	sell	vvi
her	her	appge
dreams	dream	nn2
.	.	y
<p>	<p>	y
Late	late	rr_jj
in	in	ii
the	the	at
afternoon	afternoon	nnt1
,	,	y
after	after	cs_ii
the	the	at
mountains	mountain	nn2
had	have	vhd
faded	fade	vvn
in	in	ii
the	the	at
distance	distance	nn1
and	and	cc
the	the	at
horizon	horizon	nn1
had	have	vhd
ceased	cease	vvn
to	to	to
look	look	vvi
real	real	jj
,	,	y
they	they	pphs2
stopped	stop	vvd
to	to	to
rest	rest	vvi
at	at	ii
the	the	at
water	water	nn1
's	's	ge
edge	edge	nn1
.	.	y
The	the	at
landscape	landscape	nn1
shimmered	shimmer	vvd_vvn@
in	in	ii
the	the	at
heat	heat	nn1
as	as	cs21
though	though	cs22
it	it	pph1
were	be	vbdr
all	all	db
part	part	nn1
of	of	io
an	a	at1
immense	immense	jj
Monet	monet	np1
canvas	canvas	nn1
.	.	y
A	a	at1_zz1
single	single	jj
cloud	cloud	nn1
drifted	drift	vvd
overhead	overhead	rl
.	.	y
<p>	<p>	y
Nathan	nathan	np1
climbed	climb	vvd
off	off	rp_ii
his	his	appge
horse	horse	nn1
and	and	cc
stretched	stretch	vvd
his	his	appge
legs	leg	nn2
.	.	y
He	he	pphs1
pointed	point	vvd
at	at	ii
a	a	at1
beach	beach	nn1
alongside	alongside	ii
the	the	at
river	river	nn1
.	.	y
"	"	y
We	we	ppis2
'll	will	vm
camp	camp	nn1_vv0%
there	there	rl
tonight	tonight	rt
,	,	y
"	"	y
was	be	vbdz
all	all	rr@_db
he	he	pphs1
said	say	vvd
.	.	y
<p>	<p>	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
up	up	rp_ii@
the	the	at
bank	bank	nn1
was	be	vbdz
the	the	at
broad	broad	jj
gravel	gravel	nn1
beach	beach	nn1
.	.	y
She	she	pphs1
stared	stare	vvd
at	at	ii
it	it	pph1
for	for	if
a	a	at1
while	while	nnt1@
and	and	cc
imagined	imagine	vvd_vvn_jj
seeing	see	vvg_cs@
this	this	dd1
setting	setting	nn1_vvg
as	as	ii_csa
a	a	at1
picture	picture	nn1
in	in	ii
a	a	at1
gallery	gallery	nn1
in	in	ii
New	new	np1
York	york	np1
City	city	nn1
.	.	y
<p>	<p>	y
"	"	y
Come	come	vv0
on	on	rp
,	,	y
Tense	tense	vv0_jj
.	.	y
Snap	snap	vv0
out	out	ii21
of	of	ii22
it	it	pph1
.	.	y
The	the	at
night	night	nnt1
will	will	vm
catch	catch	vvi
us	us	ppio2
without	without	iw
a	a	at1
camp	camp	nn1
.	.	y
"	"	y
<p>	<p>	y
She	she	pphs1
looked	look	vvd
at	at	ii
him	him	ppho1
and	and	cc
smiled	smile	vvd
before	before	ii
getting	get	vvg
down	down	rp
from	from	ii
her	her	appge
horse	horse	nn1
.	.	y
Nate	nate	nn1
was	be	vbdz
already	already	rr
taking	take	vvg
the	the	at
gear	gear	nn1
from	from	ii
the	the	at
pack	pack	nn1
horse	horse	nn1
.	.	y
"	"	y
I	i	ppis1
'll	will	vm
gather	gather	vvi
wood	wood	nn1
while	while	cs
you	you	ppy
unpack	unpack	vv0
.	.	y
"	"	y
<p>	<p>	y
At	at	ii
the	the	at
river	river	nn1
's	's	ge
edge	edge	nn1
,	,	y
she	she	pphs1
found	find	vvd
a	a	at1
large	large	jj
boulder	boulder	nn1
to	to	to
sit	sit	vvi
on	on	rp@
and	and	cc
carefully	carefully	rr
took	take	vvd
off	off	rp_ii
her	her	appge
