##1006250		
Dear	dear	jj
Stan	stan	np1
,	,	y
<p>	<p>	y
Enclosed	enclosed	jj_vvn
is	be	vbz
Brush	brush	nn1
with	with	iw
Destiny	destiny	nn1
,	,	y
sure	sure	rr%_jj
hope	hope	vv0_nn1
you	you	ppy
like	like	vv0
it	it	pph1
.	.	y
I	i	ppis1
'd	have	vm
be	be	vbi
kinda	kinda	rr
surprised	surprised	jj_vvd@
if	if	cs_csw@
this	this	dd1
was	be	vbdz
n't	n't	xx
the	the	at
first	first	md
yam	yam	vv0_nn1
you	you	ppy
've	have	vh0
ever	ever	rr
gotten	get	vvn
about	about	ii
housepainting	housepainting	vvg
in	in	ii
space	space	nn1
.	.	y
Chalk	chalk	nn1
it	it	pph1
up	up	ii21
to	to	ii22
many	many	da2
hours	hour	nnt2
spent	spend	vvd_vvn
working	work	vvg
on	on	ii_rp@
a	a	at1
four-color	four-color	jj
Victorian	victorian	jj
"	"	y
painted	painted	jj@
lady	lady	nn1
,	,	y
"	"	y
and	and	cc
considerable	considerable	jj
musing	muse	vvg_nn1%
on	on	ii_rp@
how	how	rgq@
much	much	da1_rr
easier	easy	jjr_rrr
it	it	pph1
would	would	vm
be	be	vbi
if	if	cs_csw@
I	i	ppis1
could	could	vm
just	just	rr
float	float	vvi
up	up	ii21
to	to	ii22
where	where	rrq
I	i	ppis1
needed	need	vvd
to	to	to
be	be	vbi
.	.	y
Man	man	nn1
,	,	y
I	i	ppis1
hate	hate	vv0
ladders	ladder	nn2
.	.	y
<p>	<p>	y
Far	far	rr
too	too	rr@_rg
consummate	consummate	vv0_jj
a	a	at1
professional	professional	jj
to	to	to
waste	waste	vvi
your	your	appge
valuable	valuable	jj
time	time	nnt1
trying	try	vvg
to	to	to
talk	talk	vvi
you	you	ppy
into	into	ii
buying	buy	vvg
the	the	at
enclosed	enclosed	jj
(	(	y
an	a	at1
option	option	nn1
I	i	ppis1
highly	highly	rr
endorse	endorse	vv0
,	,	y
by	by	ii
the	the	at
way	way	nn1
)	)	y
I	i	ppis1
do	do	vd0
want	want	vvi
to	to	to
buttonhole	buttonhole	nn1
you	you	ppy
for	for	if
a	a	at1
few	few	da2
minutes	minute	nnt2
.	.	y
<p>	<p>	y
You	you	ppy
see	see	vv0
,	,	y
Sue-Ryn	sue-ryn	np1
and	and	cc
I	i	ppis1
have	have	vh0
gotten	get	vvn
tangled	tangle	vvn
up	up	rp
in	in	ii
something	something	pn1
so	so	rg_rr
bizarre	bizarre	jj
it	it	pph1
buries	bury	vvz
the	the	at
needles	needle	nn2
in	in	ii
our	our	appge
personal	personal	jj
Weird-O-Meters	weird-o-meters	nn2
.	.	y
These	these	dd2
are	be	vbr
internal	internal	jj
devices	device	nn2
which	which	ddq
,	,	y
I	i	ppis1
might	might	vm
add	add	vvi
,	,	y
years	year	nnt2
of	of	io
doing	do	vdg
Renaissance	renaissance	nn1
Faires	faires	nn2
have	have	vh0
built	build	vvn
up	up	ii21
to	to	ii22
Super	super	jj
Heavy-duty	heavy-duty	jj_nn1
Industrial	industrial	jj
Strength	strength	nn1
.	.	y
I	i	ppis1
know	know	vv0
you	you	ppy
're	be	vbr
busy	busy	jj
,	,	y
but	but	ccb
trust	trust	vv0
me	me	ppio1
,	,	y
I	i	ppis1
'm	be	vbm
talking	talk	vvg
about	about	ii
a	a	at1
world-shaking	world-shaking	jj_nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
attention	attention	nn1
and	and	cc
to	to	to
prove	prove	vvi
that	that	cst
we	we	ppis2
're	be	vbr
talking	talk	vvg
capital	capital	nn1
"	"	y
S	s	zz1
"	"	y
Serious	serious	jj
Stuff	stuff	nn1
,	,	y
consider	consider	vv0
this	this	dd1
:	:	y
I	i	ppis1
may	may	vm
be	be	vbi
taking	take	vvg
a	a	at1
trip	trip	nn1
.	.	y
A	a	at1_zz1
long	long	jj
trip	trip	nn1
.	.	y
That	that	dd1
's	be	vbz
right	right	jj
,	,	y
me	me	ppio1
,	,	y
the	the	at
guy	guy	nn1
who	who	pnqs
tends	tend	vvz
to	to	to
emulate	emulate	vvi
the	the	at
Sphinx	sphinx	nn1
,	,	y
travel-wise	travel-wise	jj
.	.	y
I	i	ppis1
may	may	vm
not	not	xx
be	be	vbi
going	go	vvg
anywhere	anywhere	rl
this	this	dd1
time	time	nnt1
,	,	y
either	either	rr
,	,	y
but	but	ccb
I	i	ppis1
am	be	vbm
not	not	xx
optimistic	optimistic	jj
.	.	y
It	it	pph1
's	be	vbz
probably	probably	rr
gon	go	vvgk
na	na	to
happen	happen	vvi
.	.	y
<p>	<p>	y
This	this	dd1
whole	whole	jj_nn1
thing	thing	nn1
started	start	vvd
one	one	mc1
fall	fall	nn1
afternoon	afternoon	nnt1
a	a	at1
couple	couple	nn1
months	month	nnt2
back	back	rp_nn1
.	.	y
I	i	ppis1
was	be	vbdz
working	work	vvg
over	over	rp
on	on	ii
the	the	at
north	north	nd1
side	side	nn1
of	of	io
the	the	at
island	island	nn1
,	,	y
remodeling	remodel	vvg
a	a	at1
kitchen	kitchen	nn1
.	.	y
The	the	at
phone	phone	nn1
rang	ring	vvd
twice	twice	rr
,	,	y
went	go	vvd
silent	silent	jj
,	,	y
then	then	rt
started	start	vvd
ringing	ring	vvg_nn1
again	again	rt
.	.	y
That	that	dd1
's	be	vbz
the	the	at
signal	signal	nn1
Sue-Ryn	sue-ryn	np1
uses	use	vvz
to	to	to
make	make	vvi
me	me	ppio1
pick	pick	nn1@_vv0
up	up	rp
when	when	cs_rrq
I	i	ppis1
'm	be	vbm
working	work	vvg
at	at	ii
someone	someone	pn1
else	else	rr
's	's	ge_vbz
house	house	nn1
.	.	y
So	so	rr
I	i	ppis1
answered	answer	vvd
.	.	y
<p>	<p>	y
"	"	y
Hey	hey	uh
,	,	y
love	love	nn1_vv0
,	,	y
what	what	ddq
's	be	vbz
up	up	rp
?	?	y
"	"	y
I	i	ppis1
said	say	vvd
.	.	y
<p>	<p>	y
"	"	y
Steve	steve	np1
,	,	y
you	you	ppy
better	better	rrr
come	come	vvi
home	home	rl
,	,	y
"	"	y
she	she	pphs1
said	say	vvd
,	,	y
sounding	sound	vvg
seriously	seriously	rr
freaked	freak	vvn_vvd
.	.	y
"	"	y
Right	right	rr
now.	now	nnu
,	,	y
<p>	<p>	y
"	"	y
What	what	ddq
's	be	vbz
wrong	wrong	jj_rr@
?	?	y
"	"	y
I	i	ppis1
was	be	vbdz
trying	try	vvg
to	to	to
sound	sound	vvi
calm	calm	nn1_jj
,	,	y
but	but	ccb
inside	inside	ii
my	my	appge
head	head	nn1
a	a	at1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
from	from	ii
hurt	hurt	jj
relatives	relative	nn2
to	to	ii
vehicles	vehicle	nn2
in	in	ii
the	the	at
ditch	ditch	nn1
to	to	ii
exploding	explode	vvg
hot	hot	jj
water	water	nn1
heaters	heater	nn2
.	.	y
<p>	<p>	y
"	"	y
We	we	ppis2
got-	got-	jj_nn1
"	"	y
A	a	zz1
pause	pause	nn1_vv0@
to	to	to
collect	collect	vvi
herself	herself	ppx1
.	.	y
<p>	<p>	y
"	"	y
We	we	ppis2
got	get	vvd
something	something	pn1
really	really	rr
strange	strange	jj
in	in	ii
the	the	at
mad	mad	jj
.	.	y
"	"	y
<p>	<p>	y
My	my	appge
blood	blood	nn1
pressure	pressure	nn1
drops	drop	vvz
a	a	at1
few	few	da2
points	point	nn2
,	,	y
but	but	ccb
only	only	rr
a	a	at1
few	few	da2
,	,	y
as	as	csa
audits	audit	nn2_vvz@
,	,	y
lawsuits	lawsuit	nn2
,	,	y
and	and	cc
disconnect	disconnect	vv0
notices	notice	nn2
suggest	suggest	vv0
themselves	themselves	ppx2
under	under	ii
the	the	at
heading	heading	nn1
of	of	io
Bad	bad	jj
Mail	mail	nn1
.	.	y
Before	before	cs
I	i	ppis1
could	could	vm
ask	ask	vvi
more	more	rrr_dar
about	about	ii
it	it	pph1
,	,	y
she	she	pphs1
pleads	plead	vvz
with	with	iw
me	me	ppio1
to	to	to
just	just	rr
come	come	vvi
home	home	rl
right	right	rr
now	now	rt
,	,	y
please	please	rr
?	?	y
<p>	<p>	y
I	i	ppis1
tell	tell	vv0
her	her	ppho1
I	i	ppis1
'm	be	vbm
on	on	ii
my	my	appge
way	way	nn1
.	.	y
Shut	shut	vv0
down	down	rp_ii@
the	the	at
radio	radio	nn1
and	and	cc
heat	heat	nn1
,	,	y
lock	lock	vv0@_nn1
up	up	rp_ii@
the	the	at
place	place	nn1
,	,	y
jump	jump	vv0_nn1
in	in	ii
the	the	at
Beast	beast	nn1
and	and	cc
roar	roar	vv0_nn1
home	home	rl
at	at	ii
flank	flank	nn1
speed	speed	nn1
.	.	y
The	the	at
whole	whole	jj
time	time	nnt1
I	i	ppis1
'm	be	vbm
trying	try	vvg
to	to	to
guess	guess	vvi
what	what	ddq
could	could	vm
creep	creep	vvi
her	her	ppho1
out	out	rp
so	so	rr
.	.	y
A	a	at1
ten-thousand-dollar	ten-thousand-dollar	nnu1_jj
Visa	visa	nn1
bill	bill	nn1
?	?	y
A	a	at1_zz1
CadaverO-Gram	cadavero-gram	jj
?	?	y
Letter	letter	nn1
bomb	bomb	nn1_vv0
?	?	y
Vile	vile	jj
crap	crap	nn1
from	from	ii
some	some	dd
hate	hate	nn1_vv0
group	group	nn1
?	?	y
<p>	<p>	y
By	by	ii
the	the	at
time	time	nnt1
I	i	ppis1
did	do	vdd
a	a	at1
high-speed	high-speed	jj
powerslide	powerslide	nn1
into	into	ii
the	the	at
driveway	driveway	nn1
I	i	ppis1
was	be	vbdz
pretty	pretty	rg
nerved	nerved	jj@
up	up	ii@
myself	myself	ppx1
.	.	y
I	i	ppis1
explode	explode	vv0
from	from	ii
the	the	at
car	car	nn1
,	,	y
race	race	nn1_vv0@
to	to	ii
the	the	at
house	house	nn1
.	.	y
"	"	y
OK	ok	rr
,	,	y
I	i	ppis1
'm	be	vbm
here	here	rl
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
I	i	ppis1
do	do	vd0
n't	n't	xx
know	know	vvi
what	what	ddq
I	i	ppis1
expected	expect	vvd
to	to	to
see	see	vvi
.	.	y
I	i	ppis1
do	do	vd0
know	know	vvi
the	the	at
sight	sight	nn1
that	that	cst
greeted	greet	vvd
me	me	ppio1
was	be	vbdz
n't	n't	xx
one	one	mc1
of	of	io
the	the	at
possibles	possibles	nn2
chalked	chalk	vvd
up	up	rp
in	in	ii
the	the	at
smeary	smeary	jj
blackboard	blackboard	nn1
of	of	io
my	my	appge
imagination	imagination	nn1
.	.	y
<p>	<p>	y
Sue-Ryn	sue-ryn	np1
's	's	ge
standing	standing	nn1_vvg
there	there	rl
in	in	ii
the	the	at
living	living	nn1
room	room	nn1
.	.	y
Mail	mail	nn1
is	be	vbz
scattered	scatter	vvn
all	all	rr
over	over	ii
the	the	at
floor	floor	nn1
.	.	y
The	the	at
object	object	nn1
she	she	pphs1
was	be	vbdz
staring	stare	vvg
at	at	ii
with	with	iw
the	the	at
fixed	fixed	jj
intensity	intensity	nn1
of	of	io
a	a	at1
cat	cat	nn1
watching	watch	vvg
an	a	at1
owl	owl	nn1
(	(	y
and	and	cc
which	which	ddq
drew	draw	vvd
my	my	appge
eye	eye	nn1
toot-damnsweet	toot-damnsweet	nn1
)	)	y
was	be	vbdz
this	this	dd1
envelope	envelope	nn1
floating	float	vvg
in	in	ii
the	the	at
air	air	nn1
before	before	ii
her	her	ppho1
at	at	ii
about	about	ii
eye	eye	nn1
level	level	nn1
.	.	y
<p>	<p>	y
Yeah	yeah	uh
,	,	y
floating	float	vvg_jj
.	.	y
As	as	csa
in	in	ii
hanging	hang	vvg
there	there	rl
all	all	db_rr@
by	by	ii
its	its	z'
own	own	da
self	self	nn1
.	.	y
To	to	to
make	make	vvi
matters	matter	nn2
even	even	rr
more	more	rgr
interesting	interesting	jj
,	,	y
when	when	cs_rrq
I	i	ppis1
entered	enter	vvd
the	the	at
room	room	nn1
it	it	pph1
turned	turn	vvd
in	in	ii_rp@
my	my	appge
direction	direction	nn1
and	and	cc
did	do	vdd
this	this	dd1
little	little	jj_da1_rr
mid-air	mid-air	jj_nn1
curtsey	curtsey	nn1
,	,	y
as	as	cs21
if	if	cs22
to	to	to
say	say	vvi
You	you	ppy
made	make	vvd
it	it	pph1
!	!	y
Glad	glad	jj
you	you	ppy
came	come	vvd
!	!	y
<p>	<p>	y
I	i	ppis1
stop	stop	vv0
,	,	y
blink	blink	vv0_nn1
,	,	y
undergo	undergo	vv0
a	a	at1
brief	brief	jj
but	but	ccb
intense	intense	jj
reality	reality	nn1
crisis	crisis	nn1
.	.	y
I	i	ppis1
know	know	vv0
I	i	ppis1
'm	be	vbm
seeing	see	vvg
what	what	ddq
I	i	ppis1
'm	be	vbm
seeing	see	vvg
because	because	cs
it	it	pph1
's	be	vbz
still	still	rr
several	several	da2
feet	foot	nn2
away	away	rl
.	.	y
Birdwatching	birdwatching	np1@_vvg
,	,	y
I	i	ppis1
can	can	vm
spot	spot	vvi
stuff	stuff	nn1_vv0@
a	a	at1
mile	mile	nnu1
off	off	rp
,	,	y
but	but	ccb
over	over	ii
the	the	at
last	last	md
few	few	da2
years	year	nnt2
it	it	pph1
's	be	vbz
gotten	get	vvn
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
a	a	at1
tad	tad	nn1
fuzzy	fuzzy	jj
.	.	y
<p>	<p>	y
"	"	y
It	it	pph1
came	come	vvd
in	in	ii
the	the	at
mail	mail	nn1
,	,	y
"	"	y
Sue-Ryn	sue-ryn	np1
says	say	vvz
heavily	heavily	rr
,	,	y
her	her	appge
voice	voice	nn1
making	make	vvg
it	it	pph1
sound	sound	vvi
like	like	ii
the	the	at
title	title	nn1
of	of	io
a	a	at1
B-grade	b-grade	jj_nn1
horror	horror	nn1
flick	flick	nn1
.	.	y
<p>	<p>	y
"	"	y
Letters	letter	nn2
do	do	vd0
that	that	dd1
,	,	y
"	"	y
I	i	ppis1
answer	answer	vv0
as	as	csa
I	i	ppis1
make	make	vv0
my	my	appge
way	way	nn1
over	over	rp
to	to	ii
her	her	ppho1
.	.	y
<p>	<p>	y
"	"	y
But	but	ccb
not	not	xx
this	this	dd1
.	.	y
"	"	y
<p>	<p>	y
"	"	y
No	no	xx
,	,	y
not	not	xx
hardly	hardly	rr
.	.	y
<p>	<p>	y
"	"	y
What	what	ddq
do	do	vd0
you	you	ppy
think	think	vvi
it	it	pph1
is	be	vbz
?	?	y
"	"	y
<p>	<p>	y
"	"	y
Fan	fan	vv0_nn1
mail	mail	nn1
from	from	ii
some	some	dd
flounder	flounder	nn
?	?	y
"	"	y
