##1007451		
Historical	historical	jj
patterns	pattern	nn2
repeat	repeat	vv0
on	on	ii_rp@
many	many	da2
scales	scale	nn2
....	....	...
<p>	<p>	y
It	it	pph1
gets	get	vvz
dark	dark	jj_nn1
early	early	rr_jj
this	this	dd1
time	time	nnt1
of	of	io
year	year	nnt1
,	,	y
the	the	at
time	time	nnt1
of	of	io
the	the	at
winter	winter	nnt1
solstice	solstice	nn1_vv0
,	,	y
and	and	cc
it	it	pph1
gets	get	vvz
cold	cold	jj
far	far	rr
too	too	rg
early	early	rr_jj
as	as	rr21_rg
well	well	rr22_rr
.	.	y
I	i	zz1@_mc1@
feet	foot	nn2
that	that	cst_dd1
cold	cold	jj_nn1
much	much	rr_da1
more	more	rrr_dar
in	in	ii
my	my	appge
bones	bone	nn2
nowadays	nowadays	rt
.	.	y
It	it	pph1
gets	get	vvz
under	under	ii_rp@
my	my	appge
tunic	tunic	nn1
and	and	cc
into	into	ii
my	my	appge
blood	blood	nn1
,	,	y
no	no	rgqv31
matter	matter	nn1
how	how	rgqv33
many	many	da2
layers	layer	nn2
I	i	ppis1
wear	wear	vv0
Perhaps	perhaps	rr
it	it	pph1
comes	come	vvz
with	with	iw
old	old	jj
age	age	nn1
,	,	y
as	as	rg
inevitable	inevitable	jj
as	as	csa
the	the	at
wrinkles	wrinkle	nn2
on	on	ii
my	my	appge
face	face	nn1
and	and	cc
the	the	at
aches	ache	nn2
in	in	ii
my	my	appge
joints	joint	nn2
.	.	y
But	but	ccb
despite	despite	ii
the	the	at
chill	chill	nn1
,	,	y
on	on	ii
this	this	dd1
particular	particular	jj
winter	winter	nnt1
solstice	solstice	nn1_vv0
night	night	nnt1
I	i	ppis1
stood	stand	vvd
outside	outside	rl
among	among	ii
the	the	at
ancient	ancient	jj
Temple	temple	nn1@_np1
ruins	ruin	nn2_vvz@
to	to	to
watch	watch	vvi
the	the	at
setting	setting	nn1
of	of	io
the	the	at
Sun	sun	nn1
.	.	y
My	my	appge
daughter	daughter	nn1
knew	know	vvd
of	of	io
my	my	appge
desire	desire	nn1
to	to	to
