##1008654		
WHEN	when	rrq_cs
KIRSTEN	kirsten	np1
AND	and	cc
LAUREL	laurel	np1_nn1
ARE	be	vbr
SWEPT	sweep	vvn
AWAY	away	rl
ON	on	ii
A	a	at1@_zz1
TROPICAL	tropical	jj
VACATION	vacation	nn1
.	.	y
IT	it	pph1@_nn1
'S	be	vbz
TOTAL	total	jj_nn1
PARADISE-UNTIL	paradise-until	cs
THEY	they	pphs2
FALL	fall	vv0
FOR	for	if
THE	the	at
SAME	same	da
GUY	guy	nn1
.	.	y
WILL	will	vm_np1@_nn1@
ONE	one	mc1
CUTE	cute	jj
BOY	boy	nn1
COME	come	vvn@_vv0
BETWEEN	between	ii
TWO	two	mc
BEST	best	jjt
FRIENDS	friend	nn2
?	?	y
<p>	<p>	y
On	on	ii
the	the	at
plane	plane	nn1
ride	ride	nn1_vv0
to	to	ii
St.	st	np1
Thomas	thomas	np1
,	,	y
I	i	ppis1
make	make	vv0
two	two	mc
New	new	jj
Year	year	nnt1
's	's	ge
resolutions	resolution	nn2
.	.	y
My	my	appge
first	first	md
is	be	vbz
to	to	to
get	get	vvi
a	a	at1
good	good	jj
tan	tan	nn1
.	.	y
That	that	dd1
is	be	vbz
n't	n't	xx
an	a	at1
easy	easy	jj
endeavor	endeavor	nn1
since	since	cs
I	i	ppis1
'm	be	vbm
a	a	at1
strawberry	strawberry	nn1
blonde	blonde	nn1@_jj
with	with	iw
pasty	pasty	jj
skin	skin	nn1
,	,	y
so	so	cs@_rr
I	i	ppis1
always	always	rr
blotch	blotch	vv0@_nn1
and	and	cc
burn	burn	nn1_vv0
and	and	cc
look	look	vv0
like	like	cs@
I	i	ppis1
've	have	vh0
been	be	vbn
scrubbing	scrub	vvg
my	my	appge
face	face	nn1
with	with	iw
steel	steel	nn1_jj%
wool	wool	nn1
.	.	y
But	but	ccb
for	for	rr21
once	once	rr22
in	in	ii
my	my	appge
life	life	nn1
I	i	ppis1
'd	have	vm
like	like	vvi
to	to	to
be	be	vbi
the	the	at
girl	girl	nn1
who	who	pnqs
returns	return	vvz
to	to	ii
school	school	nn1
after	after	ii
winter	winter	nnt1
break	break	nn1_vv0
with	with	iw
a	a	at1
caf&eacute;	caf&eacute;	nn1
latt&eacute;	latt&eacute;	nn1
complexion	complexion	nn1
,	,	y
wearing	wear	vvg
a	a	at1
white	white	jj
scoop-necked	scoop-necked	jj
sweater	sweater	nn1
to	to	to
flaunt	flaunt	vvi
my	my	appge
tan	tan	nn1_jj
.	.	y
<p>	<p>	y
I	i	ppis1
pump	pump	vv0@
up	up	rp
the	the	at
volume	volume	nn1
on	on	ii
my	my	appge
iPod	ipod	nn1
and	and	cc
glance	glance	vv0
over	over	rp
at	at	ii
my	my	appge
best	best	jjt
friend	friend	nn1
Laurel	laurel	np1_nn1@
.	.	y
She	she	pphs1
's	be	vbz
devouring	devour	vvg_jj@
honey-roasted	honey-roasted	jj_nn1
peanuts	peanut	nn2
as	as	csa
she	she	pphs1
flips	flip	vvz
through	through	ii_rp@
a	a	at1
magazine	magazine	nn1
.	.	y
<p>	<p>	y
My	my	appge
second	second	md
New	new	jj
Year	year	nnt1
's	's	ge
resolution	resolution	nn1
is	be	vbz
even	even	rr
harder	hard	jjr
.	.	y
In	in	ii
the	the	at
next	next	md
12	12	mc
months	month	nnt2
,	,	y
I	i	ppis1
want	want	vv0
to	to	to
kiss	kiss	vvi
a	a	at1
cute	cute	jj
guy	guy	nn1
.	.	y
A	a	at1_zz1
really	really	rr
cute	cute	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
care	care	vvi
about	about	ii
chemistry	chemistry	nn1
or	or	cc
conversation	conversation	nn1
or	or	cc
even	even	cs21
if	if	cs22
he	he	pphs1
has	have	vhz
an	a	at1
inflated	inflated	jj
ego	ego	nn1
.	.	y
I	i	ppis1
just	just	rr
want	want	vv0
my	my	appge
lips	lip	nn2
on	on	ii
his	his	appge
lips	lip	nn2
for	for	if
long	long	jj
enough	enough	rr
to	to	to
qualify	qualify	vvi
as	as	ii
an	a	at1
official	official	jj
kiss	kiss	nn1
.	.	y
<p>	<p>	y
If	if	cs
anyone	anyone	pn1
heard	hear	vvd_vvn
that	that	dd1_cst
back	back	nn1_rp_jj@
home	home	rl_nn1
in	in	ii
Buffalo	buffalo	np1
,	,	y
they	they	pphs2
'd	have	vm
laugh	laugh	vvi
themselves	themselves	ppx2
all	all	db
the	the	at
way	way	nn1
up	up	ii21
to	to	ii22
the	the	at
North	north	nd1
Pole	pole	nn1
.	.	y
"	"	y
Kirsten	kirsten	vv0_np1@
Robbins	robbins	np1
?	?	y
"	"	y
they	they	pphs2
'd	have	vm
guffaw	guffaw	vvi
.	.	y
"	"	y
Where	where	rrq
is	be	vbz
she	she	pphs1
going	go	vvgk
to	to	to
meet	meet	vvi
a	a	at1
hunk	hunk	nn1
?	?	y
At	at	ii
a	a	at1
mathletes	mathletes	nn2
match	match	vv0
?	?	y
At	at	ii
a	a	at1
science	science	nn1
fair	fair	jj_rr@
?	?	y
"	"	y
OK	ok	rr
,	,	y
so	so	rg_rr
maybe	maybe	rr
they	they	pphs2
would	would	vm
n't	n't	xx
be	be	vbi
that	that	rg%_dd1_cst
harsh	harsh	jj
,	,	y
but	but	ccb
it	it	pph1
's	be	vbz
not	not	xx
like	like	ii
Laurel	laurel	np1
and	and	cc
I	i	ppis1
hang	hang	vv0
with	with	iw
the	the	at
hotties	hottie	nn2
.	.	y
We	we	ppis2
're	be	vbr
honor-society	honor-society	jj
girls	girl	nn2
,	,	y
girls	girl	nn2
who	who	pnqs
organize	organize	vv0
car	car	nn1
washes	wash	vvz_nn2
to	to	to
benefit	benefit	vvi
the	the	at
swim	swim	nn1
team	team	nn1
,	,	y
girls	girl	nn2
who	who	pnqs
win	win	vv0
"	"	y
Most	most	rgt_dat
Likely	likely	jj
to	to	to
Be	be	vbi
an	a	at1
Investment	investment	nn1
Banker	banker	nn1
.	.	y
"	"	y
Neither	neither	rr
Laurel	laurel	np1
nor	nor	cc
I	i	ppis1
have	have	vh0
ever	ever	rr
been	be	vbn
kissed	kiss	vvn
,	,	y
but	but	ccb
I	i	ppis1
just	just	rr
feel	feel	vv0
like	like	ii_jj@
if	if	csw@_cs
you	you	ppy
're	be	vbr
going	go	vvgk
to	to	to
start	start	vvi
somewhere	somewhere	rl
,	,	y
why	why	rrq
not	not	xx
try	try	vvi
for	for	if
the	the	at
best	best	rrt_jjt
?	?	y
Laurel	laurel	np1_nn1
is	be	vbz
always	always	rr
saying	say	vvg
I	i	ppis1
'm	be	vbm
hyper	hyper	rr_jj
goal-oriented	goal-oriented	jj_nn1@
.	.	y
Perfect	perfect	jj
for	for	if
a	a	at1
future	future	nn1_jj
on	on	ii
Wall	wall	np1
Street	street	nnl1
.	.	y
<p>	<p>	y
Laurel	laurel	np1_nn1
catches	catch	vvz
me	me	ppio1
looking	look	vvg
at	at	ii
her	her	ppho1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
she	she	pphs1
asks	ask	vvz
,	,	y
tossing	toss	vvg
the	the	at
final	final	jj_nn1
peanut	peanut	nn1
in	in	ii
her	her	appge
mouth	mouth	nn1
.	.	y
I	i	ppis1
'm	be	vbm
constantly	constantly	rr
reminding	remind	vvg
her	her	ppho1
