##1012950		
Maggie	maggie	np1
knows	know	vvz
she	she	pphs1
's	be	vbz
breaking	break	vvg
her	her	appge
family	family	nn1
's	's	ge_vbz
strict	strict	jj
Christmas	christmas	nnt1
rules	rule	nn2
.	.	y
And	and	cc
she	she	pphs1
can	can	vm
only	only	rr
hope	hope	vvi
her	her	appge
sisters	sister	nn2
will	will	vm
understand	understand	vvi
why	why	rrq
.	.	y
<p>	<p>	y
December	december	npm1
24	24	mc
,	,	y
P.M.	pm	ra
I	i	ppis1
'm	be	vbm
in	in	ii
the	the	at
mall	mall	nn1
.	.	y
So	so	rr
is	be	vbz
most	most	rrt@
of	of	io
the	the	at
county	county	nn1
,	,	y
from	from	ii
the	the	at
look	look	nn1
of	of	io
things	thing	nn2
.	.	y
Frantic	frantic	jj
mothers	mother	nn2
are	be	vbr
making	make	vvg
a	a	at1
beeline	beeline	nn1
for	for	if
Mega-Toys	mega-toys	nn2
.	.	y
Puzzled-looking	puzzled-looking	jj
men	man	nn2
are	be	vbr
pacing	pace	vvg
at	at	ii
jewelry	jewelry	nn1
counters	counter	nn2
,	,	y
pointing	point	vvg
at	at	ii
bracelets	bracelet	nn2
,	,	y
then	then	rt_jj%
earrings	earring	nn2
or	or	cc
pins	pin	nn2
.	.	y
Teenage	teenage	jj
girls	girl	nn2
pack	pack	vv0
the	the	at
discount	discount	nn1
makeup	makeup	nn1
shop	shop	nn1
.	.	y
Teen	teen	nn1
boys	boy	nn2
are	be	vbr
draping	drape	vvg
themselves	themselves	ppx2
over	over	ii_rp
the	the	at
side	side	nn1
of	of	io
the	the	at
escalator	escalator	nn1
on	on	ii
their	their	appge
way	way	nn1
to	to	ii
the	the	at
electronics	electronics	nn1
store	store	nn1
on	on	ii
the	the	at
second	second	md
level	level	nn1
.	.	y
I	i	ppis1
actually	actually	rr
finished	finish	vvd
my	my	appge
Christmas	christmas	nnt1
shopping	shopping	nn1
weeks	week	nnt2
ago	ago	ra
,	,	y
but	but	ccb
I	i	ppis1
'm	be	vbm
suddenly	suddenly	rr
worried	worry	vvn@_jj_vvd@
about	about	ii
my	my	appge
choices	choice	nn2
:	:	y
They	they	pphs2
're	be	vbr
all	all	db_rr@
wrong	wrong	jj
,	,	y
I	i	ppis1
think	think	vv0
.	.	y
Too	too	rg
odd	odd	jj
.	.	y
Worst	bad	jjt
of	of	io
all	all	db
,	,	y
when	when	cs_rrq
my	my	appge
family	family	nn1
opens	open	vvz
the	the	at
gifts	gift	nn2
tomorrow	tomorrow	rt
afternoon	afternoon	nnt1
,	,	y
they	they	pphs2
'll	will	vm
know	know	vvi
my	my	appge
secret	secret	nn1_jj
.	.	y
I	i	ppis1
am	be	vbm
the	the	at
youngest	young	jjt
of	of	io
four	four	mc
sisters	sister	nn2
and	and	cc
the	the	at
only	only	jj
one	one	pn1
who	who	pnqs
is	be	vbz
n't	n't	xx
married	married	jj
.	.	y
But	but	ccb
before	before	cs
you	you	ppy
start	start	vv0
thinking	think	vvg
"	"	y
old	old	jj
maid	maid	nn1
,	,	y
"	"	y
I	i	ppis1
have	have	vh0
to	to	to
tell	tell	vvi
you	you	ppy
that	that	cst
my	my	appge
seven	seven	mc
nieces	niece	nn2
and	and	cc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
'm	be	vbm
the	the	at
one	one	pn1
they	they	pphs2
call	call	vv0
when	when	rrq_cs
their	their	appge
mothers	mother	nn2
are	be	vbr
giving	give	vvg
them	them	ppho2
a	a	at1
hard	hard	jj
time	time	nnt1
.	.	y
Also	also	rr
,	,	y
I	i	ppis1
'm	be	vbm
only	only	jj_rr
34-and	34	cc
until	until	ii
recently	recently	rr
I	i	ppis1
had	have	vhd
a	a	at1
serious	serious	jj
boyfriend	boyfriend	nn1
,	,	y
so	so	rr_cs@
while	while	cs
nothing	nothing	pn1
's	's	ge_vbz
imminent	imminent	jj
,	,	y
marriage	marriage	nn1
is	be	vbz
n't	n't	xx
exactly	exactly	rr
out	out	ii21
of	of	ii22
the	the	at
question	question	nn1
.	.	y
Unsure	unsure	jj
of	of	io
what	what	ddq
I	i	ppis1
want	want	vv0
to	to	to
do	do	vdi
about	about	ii
the	the	at
presents	present	nn2
,	,	y
I	i	ppis1
turn	turn	vv0
to	to	to
go	go	vvi
outside	outside	rl
.	.	y
It	it	pph1
has	have	vhz
begun	begin	vvn
to	to	to
snow	snow	vvi
,	,	y
and	and	cc
in	in	ii
the	the	at
dusky	dusky	jj
light	light	nn1_jj
,	,	y
the	the	at
trees	tree	nn2
at	at	ii
the	the	at
far	far	jj
edge	edge	nn1
of	of	io
the	the	at
parking	parking	nn1
lot	lot	nn1
glisten	glisten	vv0
with	with	iw
the	the	at
white	white	jj
dusting	dusting	nn1@
.	.	y
Maybe	maybe	rr
I	i	ppis1
'll	will	vm
just	just	rr
go	go	vvi
ahead	ahead	rl
and	and	cc
give	give	vvi
my	my	appge
family	family	nn1
the	the	at
presents	present	nn2
I	i	ppis1
've	have	vh0
chosen	choose	vvn
.	.	y
Yes	yes	uh
,	,	y
it	it	pph1
will	will	vm
change	change	vvi
everything	everything	pn1
.	.	y
But	but	ccb
that	that	dd1
will	will	vm
be	be	vbi
OK	ok	jj
.	.	y
December	december	npm1
25	25	mc
,	,	y
A.M.	am	ra
The	the	at
snow	snow	nn1
is	be	vbz
about	about	rg
two	two	mc
inches	inch	nnu2
deep	deep	jj
and	and	cc
crusty	crusty	jj
from	from	ii
the	the	at
cold	cold	nn1_jj
.	.	y
It	it	pph1
's	be	vbz
a	a	at1
brilliant	brilliant	jj
day-bright	day-bright	jj
sunshine	sunshine	nn1
and	and	cc
no	no	at
clouds	cloud	nn2
.	.	y
Standing	stand	vvg_nn1
outside	outside	rl
,	,	y
I	i	ppis1
feel	feel	vv0
brighter	bright	jjr_rrr@
myself	myself	ppx1
,	,	y
though	though	cs
I	i	ppis1
did	do	vdd
n't	n't	xx
sleep	sleep	vvi
well	well	rr_jj@
last	last	md
night	night	nnt1
.	.	y
No	no	xx
matter	matter	nn1
how	how	rrqv33
the	the	at
family	family	nn1
gathering	gathering	nn1
turns	turn	vvz
out	out	rp
,	,	y
I	i	ppis1
know	know	vv0
it	it	pph1
's	be	vbz
going	go	vvgk
to	to	to
be	be	vbi
a	a	at1
strange	strange	jj
day	day	nnt1
.	.	y
My	my	appge
dog	dog	nn1
,	,	y
Duffy	duffy	np1
,	,	y
a	a	at1
Lab	lab	nn1
mix	mix	nn1_vv0
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
on	on	ii
the	the	at
few	few	da2
roots	root	nn2
poking	poke	vvg
through	through	ii
the	the	at
thin	thin	jj
layer	layer	nn1
of	of	io
snow	snow	nn1
.	.	y
I	i	ppis1
feel	feel	vv0
