##4021957		
Present	present	jj_nn1
Day	day	nnt1_np1
//	//	zz
"	"	y
I	i	ppis1
can	can	vm
forgive	forgive	vvi
,	,	y
but	but	ccb
if	if	cs
you	you	ppy
ask	ask	vv0
me	me	ppio1
to	to	to
forget	forget	vvi
,	,	y
you	you	ppy
ask	ask	vv0
me	me	ppio1
to	to	to
give	give	vvi
up	up	rp
experience	experience	nn1
.	.	y
"	"	y
-Louis	-louis	np1
Brandeis	brandeis	np1
//	//	zz
Flakes	flake	nn2
,	,	y
snow	snow	nn1_vv0@
saucers	saucer	nn2
,	,	y
amble	amble	vv0
down	down	rp
,	,	y
like	like	cs%_vv0@
they	they	pphs2
have	have	vh0
a	a	at1
mind	mind	nn1
and	and	cc
do	do	vd0
n't	n't	xx
want	want	vvi
to	to	to
land	land	vvi
.	.	y
In	in	ii
the	the	at
streetlight	streetlight	nn1
a	a	at1
hundred	hundred	m
feet	foot	nn2
away	away	rl
they	they	pphs2
float	float	vv0
like	like	ii_jj@
birds	bird	nn2
bobbing	bob	vvg
in	in	ii_rp@
small	small	jj
waves	wave	nn2
.	.	y
But	but	ccb
here	here	rl
,	,	y
in	in	ii
the	the	at
forty-watt	forty-watt	jj_nnu1
garage	garage	nn1
light	light	nn1
,	,	y
they	they	pphs2
dither	dither	vv0
in	in	ii_rp@
dizzy	dizzy	jj
scribbles	scribble	nn2
,	,	y
ten	ten	m
feet	foot	nn2
off	off	ii
the	the	at
ground	ground	nn1
.	.	y
Some	some	dd
hit	hit	vvd_vv0@
the	the	at
old	old	jj
dog	dog	nn1
's	's	ge
nose	nose	nn1
and	and	cc
some	some	dd
her	her	appge_ppho1
filmed-over	filmed-over	jj_nn1
eyes	eye	nn2
,	,	y
but	but	ccb
she	she	pphs1
lies	lie	vvz
there	there	rl
and	and	cc
looks	look	vvz
up	up	rp
as	as	cs21
though	though	cs22
she	she	pphs1
is	be	vbz
n't	n't	xx
missing	miss	vvg
a	a	at1
thing	thing	nn1
.	.	y
//	//	zz
When	when	rrq_cs
I	i	ppis1
say	say	vv0
her	her	appge
name	name	nn1
,	,	y
she	she	pphs1
raises	raise	vvz
her	her	appge
head	head	nn1
and	and	cc
a	a	at1
few	few	da2
flakes	flake	nn2
coast	coast	nn1_vv0%
onto	onto	ii
her	her	appge
yellow	yellow	jj
brows	brow	nn2
.	.	y
//	//	zz
Jesus	jesus	np1
,	,	y
Seth	seth	np1
could	could	vm
be	be	vbi
in	in	ii
Iraq	iraq	np1
in	in	ii
a	a	at1
week	week	nnt1
.	.	y
//	//	zz
Except	except	cs_ii
,	,	y
I	i	ppis1
'm	be	vbm
going	go	vvgk
to	to	to
give	give	vvi
him	him	ppho1
a	a	at1
million-dollar	million-dollar	jj
wound	wound	nn1
.	.	y
I	i	ppis1
do	do	vd0
n't	n't	xx
want	want	vvi
him	him	ppho1
to	to	to
come	come	vvi
back	back	rp
like	like	cs%_ii
I	i	ppis1
came	come	vvd
back	back	rp
from	from	ii
Nam	nam	np1
.	.	y
//	//	zz
The	the	at
refrigerator	refrigerator	nn1
whines	whine	nn2_vvz
and	and	cc
the	the	at
old-water	old-water	jj_nn1
smell	smell	nn1
of	of	io
this	this	dd1
place	place	nn1
passes	pass	vvz_nn2
through	through	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
thinner	thin	jjr
.	.	y
Mary	mary	np1
's	's	ge
bathroom	bathroom	nn1
light	light	nn1
stabs	stab	vvz
the	the	at
darkness	darkness	nn1
,	,	y
a	a	at1
train	train	nn1
whistles	whistle	vvz_nn2
two	two	mc
miles	mile	nnu2
away	away	rl
,	,	y
a	a	at1
weak	weak	jj
god	god	nn1
blowing	blow	vvg
on	on	ii_rp@
a	a	at1
