##2000173		
None	none	pn
of	of	io
them	them	ppho2
stands	stand	nn2_vvz
above	above	ii
five	five	mc
feet	foot	nn2
or	or	cc
weighs	weigh	vvz
more	more	dar
than	than	csn
100	100	mc
pounds	pound	nn2
,	,	y
but	but	ccb
all	all	db_rr@
four	four	mc
dramatically	dramatically	rr
assumed	assume	vvn_jj@_vvd
center	center	nn1
stage	stage	nn1
during	during	ii
the	the	at
1992	1992	mc
Olympic	olympic	jj
Games	game	nn2
.	.	y
Two	two	mc
gymnasts	gymnast	nn2_vvz
:	:	y
Kim	kim	np1
Zmeskal	zmeskal	np1
and	and	cc
Shannon	shannon	np1
Miller	miller	np1
.	.	y
Two	two	mc
figure	figure	nn1
skaters	skater	nn2
:	:	y
Midori	midori	np1_jj
Ito	ito	np1_nn1
and	and	cc
Kristi	kristi	jj_np1
Yamaguchi	yamaguchi	nn1_np1
.	.	y
Two	two	mc
powerful	powerful	jj
pepper	pepper	nn1
pots	pot	nn2
who	who	pnqs
were	be	vbdr
favored	favor	vvn@
to	to	to
win	win	vvi
gold	gold	nn1_jj@
medals	medal	nn2
and	and	cc
two	two	mc
elegant	elegant	jj
underdogs	underdog	nn2
who	who	pnqs
outshone	outshone	vvd
the	the	at
stars	star	nn2
when	when	rrq_cs
the	the	at
spotlight	spotlight	nn1
was	be	vbdz
brightest	bright	jjt
.	.	y
What	what	ddq
were	be	vbdr
the	the	at
effects	effect	nn2
on	on	ii
them	them	ppho2
of	of	io
winning	win	vvg_jj@
or	or	cc
losing	lose	vvg_nn1@
?	?	y
How	how	rgq@_rrq
well	well	rr
did	do	vdd
they	they	pphs2
cope	cope	vvi
after	after	ii
failing	fail	vvg
to	to	to
live	live	vvi
up	up	ii21
to	to	ii22
expectations	expectation	nn2
--	--	x
nearly	nearly	rr
always	always	rr
the	the	at
expectations	expectation	nn2
of	of	io
others	others	nn2
?	?	y
And	and	cc
the	the	at
flip	flip	nn1
side	side	nn1
?	?	y
Is	be	vbz
Olympic	olympic	jj
success	success	nn1
