##2000750		
When	when	rrq_cs
the	the	at
huge	huge	jj
cinnamon-phase	cinnamon-phase	jj_nn1
bear	bear	nn1_vv0
finally	finally	rr
poked	poke	vvd
its	its	z'
snout	snout	nn1
through	through	ii
the	the	at
dense	dense	jj
underbrush	underbrush	nn1
,	,	y
I	i	ppis1
sensed	sense	vvd
that	that	cst
the	the	at
months	month	nnt2
of	of	io
dreaming	dream	vvg_nn1@_jj@
and	and	cc
strategizing	strategizing	nn1@_vvg_jj@
were	be	vbdr
about	about	rpk
to	to	to
pay	pay	vvi
off	off	rp
.	.	y
A	a	at1
mountain	mountain	nn1
of	of	io
letters	letter	nn2
and	and	cc
endless	endless	jj
phone	phone	nn1
conversations	conversation	nn2
had	have	vhd
preceded	precede	vvn
this	this	dd1
moment	moment	nn1
,	,	y
and	and	cc
it	it	pph1
was	be	vbdz
worth	worth	ii
every	every	at1
bead	bead	nn1
of	of	io
sweat	sweat	nn1
...	...	...
and	and	cc
every	every	at1
stamp	stamp	nn1
.	.	y
Arranging	arrange	vvg
a	a	at1
successful	successful	jj
out-of-state	out-of-state	jj
hunt	hunt	nn1
takes	take	vvz
planning	planning	nn1_vvg
.	.	y
It	it	pph1
's	be	vbz
one	one	mc1
thing	thing	nn1
to	to	to
dream	dream	vvi
,	,	y
but	but	ccb
an	a	at1
entirely	entirely	rr
different	different	jj
matter	matter	nn1
to	to	to
make	make	vvi
dreams	dream	nn2
come	come	vvi
true	true	jj
.	.	y
The	the	at
legwork	legwork	nn1
is	be	vbz
n't	n't	xx
so	so	rg_rr
difficult	difficult	jj
,	,	y
however	however	rr
,	,	y
if	if	cs
you	you	ppy
know	know	vv0
where	where	rrq
to	to	to
begin	begin	vvi
your	your	appge
search	search	nn1
.	.	y
Act	act	vv0
now	now	rt
,	,	y
months	month	nnt2
before	before	ii_cs
the	the	at
hunting	hunting	nn1
seasons	season	nnt2
.	.	y
Use	use	vv0
the	the	at
following	following	jj
information	information	nn1
as	as	ii_csa
a	a	at1
launching	launching	nn1
pad	pad	nn1_vv0
,	,	y
and	and	cc
you	you	ppy
should	should	vm
land	land	vvi
on	on	ii
the	the	at
best	best	jjt
places	place	nn2
to	to	to
bowhunt	bowhunt	vvi
.	.	y
Black	black	jj_nn1@
Bears	bear	nn2_vvz@
The	the	at
popularity	popularity	nn1
of	of	io
bowhunting	bowhunting	vvg_jj@
spring	spring	nn1
bears	bear	nn2
has	have	vhz
skyrocketed	skyrocket	vvn
in	in	ii
recent	recent	jj
years	year	nnt2
.	.	y
Conveniently	conveniently	rr
,	,	y
spring	spring	nn1
seasons	season	nnt2
open	open	vv0_jj
just	just	rr
as	as	csa_ii@
