##2000850		
OPPOSITE	opposite	jj_nn1@_rl@
:	:	y
Button-rifled	button-rifled	jj
barrels	barrel	nn2
,	,	y
vastly	vastly	rr
improved	improved	jj_vvn
riflescopes	riflescope	nn2
and	and	cc
mounts	mount	nn2_vvz
and	and	cc
widespectrum	widespectrum	nn1
smokeless	smokeless	jj
propellants	propellant	nn2
in	in	ii
modern	modern	jj
ammunition	ammunition	nn1
are	be	vbr
three	three	mc
innovations	innovation	nn2
that	that	cst
have	have	vh0
helped	help	vvn
answer	answer	vvi
the	the	at
call	call	nn1
by	by	ii
shooters	shooter	nn2
for	for	if
accuracy	accuracy	nn1
and	and	cc
reliability	reliability	nn1
this	this	dd1
century	century	nnt1
.	.	y
//	//	x
In	in	ii
the	the	at
century	century	nnt1
that	that	cst_dd1
has	have	vhz
passed	pass	vvn
since	since	cs_ii@_rr@
OUTDOOR	outdoor	jj
LIFE	life	nn1
first	first	md
saw	see	vvd
the	the	at
light	light	nn1
of	of	io
print	print	nn1
,	,	y
there	there	ex
have	have	vh0
been	be	vbn
so	so	rg
many	many	da2
inventions	invention	nn2
and	and	cc
innovations	innovation	nn2
in	in	ii
the	the	at
world	world	nn1
of	of	io
sport-shooting	sport-shooting	nn1_jj
and	and	cc
hunting	hunting	nn1
,	,	y
many	many	da2
of	of	io
them	them	ppho2
first	first	md
reported	report	vvn_vvd
in	in	ii
these	these	dd2
pages	page	nn2
from	from	ii
the	the	at
1898	1898	mc
Mauser	mauser	nn1_np1
to	to	ii
the	the	at
latest	late	jjt
range-estimating	range-estimating	jj_nn1
laser	laser	nn1
sight	sight	nn1
)	)	y
,	,	y
that	that	cst
a	a	at1
full	full	jj
list	list	nn1
would	would	vm
fill	fill	vvi
a	a	at1
giant	giant	jj_nn1
catalog	catalog	nn1
.	.	y
Narrowing	narrow	vvg
the	the	at
number	number	nn1
to	to	ii
the	the	at
10	10	mc
most	most	rgt
important	important	jj
is	be	vbz
an	a	at1
impossible	impossible	jj
task	task	nn1
,	,	y
but	but	ccb
following	follow	vvg_nn1@
are	be	vbr
the	the	at
innovations	innovation	nn2
I	i	ppis1
believe	believe	vv0
not	not	xx
only	only	rr
changed	change	vvd_vvn
the	the	at
course	course	nn1
of	of	io
sport-shooting	sport-shooting	nn1_jj
,	,	y
but	but	ccb
also	also	rr
will	will	vm
continue	continue	vvi
to	to	to
be	be	vbi
important	important	jj
during	during	ii
the	the	at
next	next	md
century	century	nnt1
