##221370		
Dan	dan	np1
Rather	rather	rr@_rg
,	,	y
host	host	vv0_nn1
:	:	y
Good	good	jj
evening	evening	nnt1
and	and	cc
happy	happy	jj
New	new	jj
Year	year	nnt1
.	.	y
Over	over	ii
the	the	at
past	past	jj
two	two	mc
decades	decade	nnt2
,	,	y
America	america	np1
has	have	vhz
seen	see	vvn
a	a	at1
dramatic	dramatic	jj
transformation	transformation	nn1
in	in	ii
the	the	at
status	status	nn1
of	of	io
women	woman	nn2
,	,	y
a	a	at1
struggle	struggle	nn1
for	for	if
equal	equal	jj
rights	right	nn2
and	and	cc
equal	equal	jj
opportunity	opportunity	nn1
that	that	cst_dd1
has	have	vhz
changed	change	vvn
roles	role	nn2
and	and	cc
rules	rule	nn2_vvz@
at	at	ii
work	work	nn1
and	and	cc
at	at	ii
home	home	nn1
.	.	y
Despite	despite	ii
this	this	dd1
revolution	revolution	nn1
,	,	y
or	or	cc
maybe	maybe	rr
because	because	ii21
of	of	ii22
it	it	pph1
,	,	y
there	there	ex
's	be	vbz
an	a	at1
unspoken	unspoken	jj
tension	tension	nn1
between	between	ii
men	man	nn2
and	and	cc
women	woman	nn2
,	,	y
tension	tension	nn1
that	that	cst
surfaced	surface	vvd
in	in	ii_rp@
offices	office	nn2
around	around	ii
the	the	at
nation	nation	nn1
during	during	ii
the	the	at
Clarence	clarence	np1
Thomas-Anita	thomas-anita	np1
Hill	hill	nnl1
debate	debate	nn1
in	in	ii
the	the	at
fall	fall	nn1
.	.	y
But	but	ccb
as	as	csa
we	we	ppis2
found	find	vvd
out	out	rp
during	during	ii
our	our	appge
48	48	mc
Hours	hour	nnt2
,	,	y
the	the	at
workplace	workplace	nn1
is	be	vbz
not	not	xx
the	the	at
only	only	jj
place	place	nn1_vv0
you	you	ppy
can	can	vm
join	join	vvi
the	the	at
battle	battle	nn1
of	of	io
the	the	at
sexes	sex	nn2
.	.	y
@!THE-PERFECT-DATE-#		zzq
Richard	richard	np1
Schlesinger	schlesinger	np1
reporting	reporting	nn1_vvg
:	:	y
Katy	katy	np1
Stapleton	stapleton	np1
:	:	y
What	what	ddq
we	we	ppis2
want	want	vv0
to	to	to
do	do	vdi
is	be	vbz
show	show	nn1
your	your	appge
chemistry	chemistry	nn1
,	,	y
your	your	appge
ki	ki	nn2
--		nn1_jj
your	your	appge
energy	energy	nn1
.	.	y
We	we	ppis2
're	be	vbr
marketing	market	vvg@
you	you	ppy
.	.	y
We	we	ppis2
want	want	vv0
to	to	to
bring	bring	vvi
out	out	rp
the	the	at
best	best	jjt
Barry	barry	np1
we	we	ppis2
possibly	possibly	rr
can	can	vm_vv0%
.	.	y
Starting	start	vvg_nn1
right	right	rr_nn1
now	now	rt
.	.	y
Barry	barry	np1
:	:	y
Thank	thank	vv0
you	you	ppy
very	very	rg
much	much	da1_rr
.	.	y
Schlesinger	schlesinger	np1
:	:	y
For	for	if
many	many	da2
men	man	nn2
and	and	cc
women	woman	nn2
,	,	y
finding	find	vvg
a	a	at1
date	date	nn1
has	have	vhz
become	become	vvn@
less	less	dar_rrr
of	of	io
an	a	at1
adventure	adventure	nn1
...	...	...
Barry	barry	np1
:	:	y
The	the	at
philosophy	philosophy	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
:	:	y
...	...	...
and	and	cc
more	more	dar
of	of	io
a	a	at1
job	job	nn1
.	.	y
Barry	barry	np1
:	:	y
...	...	...
honesty	honesty	nn1
,	,	y
sincerity	sincerity	nn1
,	,	y
fidelity	fidelity	nn1
