##221672		
OFF	off	ii
THE	the	at
WAGON	wagon	nn1
@(Nighttime-footage-)		zzc
@!BILL-LAGATTUTA-rep		zzq
:	:	y
@(Voiceover)		zzc
It	it	pph1
's	be	vbz
Friday	friday	npd1
night	night	nnt1
in	in	ii
Barrow	barrow	np1
,	,	y
Alaska	alaska	np1
.	.	y
qwq		xx
@		ii
(	(	y
Footage-of-snowmob		np1
Unidentified	unidentified	jj
Man	man	nn1
1	1	mc1
:	:	y
It	it	pph1
's	be	vbz
party	party	nn1
time	time	nnt1
,	,	y
baby	baby	nn1
.	.	y
Unidentified	unidentified	jj
Man	man	nn1
2	2	mc
:	:	y
Yeah	yeah	uh
!	!	y
@(Footage-of-other-p)		zzc
@!LAGATTUTA		zzq
:	:	y
@(Voiceover)		zzc
Only	only	rr
this	this	dd1
weekend	weekend	nnt1
there	there	ex
's	be	vbz
something	something	pn1
new	new	jj
in	in	ii
town	town	nn1
.	.	y
Unidentified	unidentified	jj
Man	man	nn1
3	3	mc
:	:	y
Yee-ha-ha	yee-ha-ha	np1
!	!	y
Unidentified	unidentified	jj
Man	man	nn1
4	4	mc
:	:	y
Oh	oh	uh
.	.	y
Got	get	vvn_vvd
to	to	to
run	run	vvi
.	.	y
Got	get	vvn_vvd
to	to	ii@
party	party	nn1
.	.	y
@!LAGATTUTA		zzq
:	:	y
@(Voiceover)		zzc
After	after	ii_cs
a	a	at1
full	full	jj
year	year	nnt1
of	of	io
going	go	vvg
without	without	iw_rl%
...	...	...
Man	man	nn1
2	2	mc
:	:	y
Party	party	nn1
,	,	y
baby	baby	nn1
!	!	y
@!LAGATTUTA		zzq
:	:	y
@(Voiceover)		zzc
...	...	...
Barrow	barrow	np1_nn1
,	,	y
Alaska	alaska	np1
,	,	y
has	have	vhz
just	just	rr
repealed	repeal	vvn
prohibition	prohibition	nn1
...	...	...
Unidentified	unidentified	jj
Man	man	nn1
5	5	mc
:	:	y
Oh	oh	uh
,	,	y
feeling	feel	vvg
pretty	pretty	rg
good	good	jj
.	.	y
Freedom	freedom	nn1
.	.	y
@!LAGATTUTA		zzq
:	:	y
@(Voiceover)		zzc
...	...	...
though	though	cs
not	not	xx
everyone	everyone	pn1
is	be	vbz
ready	ready	jj
to	to	to
celebrate	celebrate	vvi
.	.	y
Unidentified	unidentified	jj
Man	man	nn1
6	6	mc
:	:	y
I	i	ppis1
know	know	vv0
that	that	cst
when	when	cs
you	you	ppy
go	go	vv0
for	for	if
a	a	at1
year	year	nnt1
without	without	iw
it	it	pph1
,	,	y
all	all	rr41
of	of	rr42
a	a	rr43
sudden	sudden	rr44
you	you	ppy
got	get	vvd
it	it	pph1
again	again	rt
...	...	...
qwq		xx
@		ii
(	(	y
Footage-of-people-		np1
Man	man	nn1
6	6	mc
:	:	y
@(Voiceover)		zzc
...	...	...
some	some	dd
people	people	nn
are	be	vbr
going	go	vvgk
to	to	to
overdo	overdo	vvi
it	it	pph1
.	.	y
'	'	ge_"@
But	but	ccb
now	now	rt
we	we	ppis2
're	be	vbr
back	back	rp
to	to	ii
mainstream	mainstream	jj
America	america	np1
.	.	y
Give	give	vv0
me	me	ppio1
a	a	at1
Bud	bud	nn1
,	,	y
you	you	ppy
know	know	vv0
.	.	y
'	'	"@_ge
And	and	cc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@(Voiceover)		zzc
And	and	cc
now	now	cs21
that	that	cs22
booze	booze	nn1
has	have	vhz
reached	reach	vvn
Barrow	barrow	np1_nn1@
...	...	...
Man	man	nn1
2	2	mc
:	:	y
Twenty-four	twenty-four	mc
bottles	bottle	nn2
of	of	io
assorted	assorted	jj
liquor	liquor	nn1
.	.	y
Whoo	whoo	uh
!	!	y
@(Footage-of-police-)		zzc
@!LAGATTUTA		zzq
:	:	y
@(Voiceover)		zzc
...	...	...
the	the	at
next	next	md
48	48	mc
hours	hour	nnt2
here	here	rl
are	be	vbr
bound	bind	vvnk
to	to	to
be	be	vbi
interesting	interesting	jj
.	.	y
Officer	officer	nn1
CHRIS	chris	np1
STETTLER	stettler	nn1
:	:	y
It	it	pph1
's	be	vbz
almost	almost	rr
as	as	cs21
if	if	cs22
everybody	everybody	pn1
is	be	vbz
going	go	vvg
on	on	ii_rp@
a	a	at1
binge	binge	nn1
to	to	to
celebrate	celebrate	vvi
the	the	at
village	village	nn1
going	go	vvg
wet	wet	jj
.	.	y
Man	man	nn1
4	4	mc
:	:	y
Wet	wet	jj
town	town	nn1
?	?	y
Right	right	rr_nn1_vv0%
on	on	rp@_ii
.	.	y
@!LAGATTUTA		zzq
:	:	y
The	the	at
fact	fact	nn1
is	be	vbz
you	you	ppy
do	do	vd0
n't	n't	xx
need	need	vvi
to	to	to
have	have	vhi
a	a	at1
drink	drink	nn1
in	in	ii
Barrow	barrow	np1
,	,	y
Alaska	alaska	np1
,	,	y
to	to	to
feel	feel	vvi
like	like	ii
you	you	ppy
're	be	vbr
on	on	ii31
top	top	ii32
of	of	ii33
the	the	at
world	world	nn1
.	.	y
You	you	ppy
're	be	vbr
already	already	rr
here	here	rl
.	.	y
This	this	dd1
is	be	vbz
300	300	mc
miles	mile	nnu2
inside	inside	ii_rl
the	the	at
Arctic	arctic	np1
Circle	circle	nn1
,	,	y
the	the	at
northern-most	northernmost	jj
city	city	nn1
on	on	ii
the	the	at
continent	continent	nn1
.	.	y
And	and	cc
if	if	cs_csw@
you	you	ppy
want	want	vv0
to	to	to
see	see	vvi
the	the	at
effects	effect	nn2
alcohol	alcohol	nn1
can	can	vm
have	have	vhi
on	on	ii
one	one	mc1
community	community	nn1
,	,	y
just	just	rr
come	come	vv0_vvn@
up	up	rp
here	here	rl
.	.	y
@(Footage-of-man-ice)		zzc
@!Ms-FRAN-TATE-@1Res		zzq
:	:	y
This	this	dd1
is	be	vbz
Barrow	barrow	np1
--		nn1_jj
not	not	xx
much	much	da1
of	of	io
it	it	pph1
,	,	y
but	but	ccb
this	this	dd1
is	be	vbz
Barrow	barrow	np1
.	.	y
We	we	ppis2
got	get	vvd
21	21	mc
miles	mile	nnu2
of	of	io
road	road	nn1
which	which	ddq
you	you	ppy
can	can	vm
drive	drive	vvi
in	in	rp@
about	about	rg
20	20	mc
minutes	minute	nnt2
on	on	ii
Sunday	sunday	npd1
.	.	y
qwq		xx
@		ii
(	(	y
Speaking-on-the-ra	speaking-on-the-ra	nn1_jj
This	this	dd1
is	be	vbz
KBRW-Barrow	kbrw-barrow	jj_np1
.	.	y
You	you	ppy
ca	can	vm
n't	n't	xx
drive	drive	vvi
from	from	ii
here	here	rl
to	to	ii
