##221750		
DAN	dan	np1
@!RATHER		zzq
,	,	y
host	host	vv0_nn1
:	:	y
Tonight	tonight	rt
a	a	at1
familiar	familiar	jj
face	face	nn1
returns	return	vvz_nn2
to	to	ii
48	48	mc
HOURS	hour	nnt2
.	.	y
Correspondent	correspondent	nn1
Bernard	bernard	np1
Goldberg	goldberg	np1
is	be	vbz
back	back	rp
with	with	iw
a	a	at1
new	new	jj
feature	feature	nn1
,	,	y
48	48	mc
HOURS	hour	nnt2
With	with	iw
--		nn1_jj
48	48	mc
HOURS	hour	nnt2
with	with	iw
newsmakers	newsmaker	nn2
,	,	y
personalities	personality	nn2
and	and	cc
others	others	nn2
.	.	y
To	to	to
mark	mark	vvi
his	his	appge
return	return	nn1
,	,	y
Bernie	bernie	np1
decided	decide	vvd
to	to	to
find	find	vvi
himself	himself	ppx1
a	a	at1
good	good	jj
attorney	attorney	nn1
.	.	y
@!BERNARD-GOLDBERG-r		zzq
:	:	y
Why	why	rrq
do	do	vd0
you	you	ppy
suppose	suppose	vvi
so	so	rg
many	many	da2
Americans	american	nn2
despise	despise	vv0
defense	defense	nn1
lawyers	lawyer	nn2
?	?	y
@!Ms-LESLIE-ABRAMSON		zzq
:	:	y
Because	because	cs
they	they	pphs2
do	do	vd0
n't	n't	xx
understand	understand	vvi
our	our	appge
role	role	nn1
.	.	y
They	they	pphs2
think	think	vv0
we	we	ppis2
approve	approve	vv0
of	of	io
what	what	ddq
our	our	appge
clients	client	nn2
do	do	vd0
,	,	y
when	when	rrq_cs
,	,	y
of	of	rr21
course	course	rr22
,	,	y
we	we	ppis2
don't.	don't	nnu
@!GOLDBERG		zzq
:	:	y
But	but	ccb
the	the	at
reason	reason	nn1
they	they	pphs2
think	think	vv0
you	you	ppy
approve	approve	vv0
is	be	vbz
because	because	cs
you	you	ppy
're	be	vbr
trying	try	vvg
to	to	to
get	get	vvi
someone	someone	pn1
off	off	rp
,	,	y
even	even	cs21
if	if	cs22
he	he	pphs1
did	do	vdd
do	do	vdi
it	it	pph1
.	.	y
@!Ms-ABRAMSON		zzq
:	:	y
Well	well	rr
,	,	y
I	i	ppis1
think	think	vv0
if	if	cs_csw@
you	you	ppy
--		zz
if	if	cs_csw@
you	you	ppy
substitute	substitute	vv0
the	the	at
word	word	nn1
'	'	ge
off	off	jj%
'	'	ge
with	with	iw
'	'	ge_"@
get	get	vv0
a	a	at1
fair	fair	jj
trial	trial	nn1
,	,	y
'	'	"@_ge
that	that	dd1_cst
's	be	vbz
absolutely	absolutely	rr
true	true	jj
.	.	y
What	what	ddq
would	would	vm
we	we	ppis2
think	think	vvi
of	of	io
a	a	at1
society	society	nn1
where	where	cs_rrq
the	the	at
defense	defense	nn1
lawyer	lawyer	nn1
is	be	vbz
not	not	xx
on	on	ii
your	your	appge
side	side	nn1
.	.	y
Would	would	vm
do	do	vdi
call	call	nn1
such	such	da
a	a	at1
system	system	nn1
?	?	y
The	the	at
Third	third	md
Reich	reich	np1
?	?	y
Do	do	vd0
we	we	ppis2
call	call	vvi
it	it	pph1
Soviet	soviet	jj
Russia	russia	np1
?	?	y
@(Footage-of-'Shut-u)		zzc
@!Ms-ABRAMSON		zzq
:	:	y
Shut	shut	vv0
up	up	rp
.	.	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
abrasive	abrasive	jj
and	and	cc
a	a	rr21@
lot	lot	rr22
worse	bad	jjr_rrr@
.	.	y
And	and	cc
like	like	ii_vv0@
a	a	at1
lot	lot	nn1
of	of	io
other	other	jj
defense	defense	nn1
lawyers	lawyer	nn2
,	,	y
she	she	pphs1
could	could	vm
n't	n't	xx
care	care	vvi
less	less	rrr_dar
.	.	y
@!Ms-ABRAMSON		zzq
:	:	y
And	and	cc
that	that	dd1
's	be	vbz
as	as	rg
bad	bad	jj
as	as	csa
it	it	pph1
is	be	vbz
.	.	y
That	that	dd1
's	be	vbz
the	the	at
worst	bad	jjt
thing	thing	nn1
anybody	anybody	pn1
can	can	vm
say	say	vvi
he	he	pphs1
ever	ever	rr
did	do	vdd
to	to	ii
his	his	appge
parents	parent	nn2
before	before	cs
he	he	pphs1
was	be	vbdz
driven	drive	vvn
over	over	ii_rp
the	the	at
edge	edge	nn1
.	.	y
@!GOLDBERG		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
We	we	ppis2
first	first	md
got	get	vvn_vvd
to	to	to
know	know	vvi
her	her	ppho1
during	during	ii
the	the	at
Menendez	menendez	np1_nn1@
trial	trial	nn1
.	.	y
@!Ms-ABRAMSON		zzq
:	:	y
This	this	dd1
is	be	vbz
a	a	at1
televised	televised	jj
trial	trial	nn1
.	.	y
And	and	cc
it	it	pph1
's	be	vbz
televised	televise	vvn@_jj
nationally	nationally	rr
.	.	y
@(Footage-of-Lyle-an)		zzc
@!GOLDBERG		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
The	the	at
