##54361		
Announcer	announcer	np1_nn1
:	:	y
It	it	pph1
's	be	vbz
SUNDAY	sunday	npd1
MORNING	morning	nnt1
on	on	ii
CBS	cbs	np1
and	and	cc
here	here	rl
again	again	rt
is	be	vbz
Charles	charles	np1
Osgood	osgood	np1
.	.	y
@!CHARLES-OSGOOD-ho		zzq
:	:	y
For	for	if
our	our	appge
Couples	couple	nn2
series	series	nn
this	this	dd1_rg%
morning	morning	nnt1
,	,	y
we	we	ppis2
're	be	vbr
going	go	vvgk
to	to	to
take	take	vvi
a	a	at1
closer	closer	jjr
,	,	y
more	more	rgr
personal	personal	jj
look	look	nn1
at	at	ii
a	a	at1
couple	couple	nn1
most	most	dat
moviegoers	moviegoer	nn2
have	have	vh0
only	only	rr
seen	see	vvn
at	at	ii
the	the	at
theater	theater	nn1
.	.	y
While	while	cs
they	they	pphs2
share	share	vv0
the	the	at
screen	screen	nn1
relatively	relatively	rr
briefly	briefly	rr
in	in	ii
their	their	appge
new	new	jj
motion	motion	nn1
picture	picture	nn1
,	,	y
Rita	rita	np1
Braver	brave	jjr
tells	tell	vvz
us	us	ppio2
they	they	pphs2
've	have	vh0
been	be	vbn
sharing	share	vvg
their	their	appge
lives	life	nn2
for	for	if
a	a	at1
whole	whole	jj
lot	lot	nn1
longer	long	rrr
.	.	y
@(Photo-of-Amy-Madig)		zzc
@!Ms-AMY-MADIGAN		zzq
:	:	y
We	we	ppis2
've	have	vh0
been	be	vbn
married	married	jj_vvn%
17	17	mc
years	year	nnt2
.	.	y
@!RITA-BRAVER-report		zzq
:	:	y
That	that	dd1
's	be	vbz
a	a	at1
long	long	jj
time	time	nnt1
by	by	ii
anybody	anybody	pn1
's	's	ge
standards	standard	nn2
.	.	y
@!Ms-MADIGAN		zzq
:	:	y
I	i	ppis1
guess	guess	vv0
it	it	pph1
is	be	vbz
,	,	y
is	be	vbz
n't	n't	xx
it	it	pph1
,	,	y
you	you	ppy
know	know	vv0
?	?	y
@!Mr-ED-HARRIS		zzq
:	:	y
Plus	plus	nn1
,	,	y
we	we	ppis2
've	have	vh0
worked	work	vvn
at	at	ii
it	it	pph1
,	,	y
you	you	ppy
know	know	vv0
