##54663		
WONDER	wonder	nn1_vv0_jj@
BOY	boy	nn1
Announcer	announcer	np1_nn1
:	:	y
It	it	pph1
's	be	vbz
SUNDAY	sunday	npd1
MORNING	morning	nnt1
on	on	ii
CBS	cbs	np1
.	.	y
And	and	cc
here	here	rl
again	again	rt
is	be	vbz
Charles	charles	np1
Osgood	osgood	np1
.	.	y
@!CHARLES-OSGOOD-ho		zzq
:	:	y
Wonder	wonder	vv0_jj@_nn1
Boy	boy	nn1
sounds	sound	vvz
like	like	ii
the	the	at
name	name	nn1
of	of	io
a	a	at1
superhero	superhero	nn1
,	,	y
but	but	ccb
,	,	y
in	in	ii
fact	fact	nn1
,	,	y
it	it	pph1
refers	refer	vvz
to	to	ii
that	that	dd1
writer	writer	nn1
of	of	io
wonderful	wonderful	jj
fiction	fiction	nn1
,	,	y
Michael	michael	np1
Chabon	chabon	np1_nn1
.	.	y
For	for	if
the	the	at
second	second	md
chapter	chapter	nn1
of	of	io
our	our	appge
book	book	nn1
series	series	nn
,	,	y
In	in	ii
Their	their	appge
Own	own	da
Words	word	nn2
,	,	y
Rita	rita	np1
Braver	brave	jjr
introduces	introduce	vvz
us	us	ppio2
to	to	ii
a	a	at1
novelist	novelist	nn1
with	with	iw
writing	write	vvg_nn1
powers	power	nn2
and	and	cc
abilities	ability	nn2
far	far	rr
beyond	beyond	ii
those	those	dd2
of	of	io
most	most	dat
mortals	mortal	nn2
.	.	y
qwq		xx
@		ii
(	(	y
Footage-of-Michael		np1
Unidentified	unidentified	jj
Child	child	nn1
:	:	y
"	"	y
Spiderman	spider-man	np1_nn1
"	"	y
comics	comic	nn2
.	.	y
@!RITA-BRAVER-report		zzq
:	:	y
@(Voiceover)		zzc
He	he	pphs1
could	could	vm
be	be	vbi
any	any	dd
mild-mannered	mild-mannered	jj
father	father	nn1
taking	take	vvg
his	his	appge
"	"	y
Superman	superman	nn1@_np1
"	"	y
-smitten	-smitten	nn1_jj
son	son	nn1
to	to	ii
a	a	at1
comic	comic	jj_nn1
book	book	nn1
convention	convention	nn1
.	.	y
@!Mr-MICHAEL-CHABON-		zzq
:	:	y
@(Voiceover)		zzc
I	i	ppis1
grew	grow	vvd
up	up	rp
as	as	ii
a	a	at1
comic	comic	jj_nn1
book	book	nn1
reader	reader	nn1
.	.	y
I	i	ppis1
read	read	vv0_vvd
them	them	ppho2
for	for	if
years	year	nnt2
as	as	ii_csa
a	a	at1
child	child	nn1
.	.	y
Ooh	ooh	uh
,	,	y
look	look	vv0_nn1
at	at	ii
that	that	dd1
.	.	y
There	there	ex
's	be	vbz
Captain	captain	nn1
America	america	np1
.	.	y
@(Footage-of-Chabon-)		zzc
@!BRAVER		zzq
:	:	y
@(Voiceover)		zzc
But	but	ccb
this	this	dd1
is	be	vbz
Michael	michael	np1
Chabon	chabon	np1
,	,	y
whose	whose	ddqge
love	love	nn1
of	of	io
comic	comic	jj_nn1
books	book	nn2
led	lead	vvd_vvn
him	him	ppho1
to	to	to
write	write	vvi
another	another	dd1
kind	kind	nn1
of	of	io
book	book	nn1
,	,	y
a	a	at1
big	big	jj
zowie	zowie	nn1
,	,	y
wowie	wowie	nn1
novel	novel	nn1
that	that	cst
won	win	vvd
him	him	ppho1
,	,	y
at	at	ii
age	age	nn1
37	37	mc
,	,	y
the	the	at
2001	2001	mc
Pulitzer	pulitzer	np1
Prize	prize	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
&amp;		cc
Clay	clay	nn1_np1@
,	,	y
"	"	y
the	the	at
tale	tale	nn1
of	of	io
two	two	mc
cousins	cousin	nn2
who	who	pnqs
create	create	vv0
a	a	at1
superhero	superhero	nn1
dubbed	dub	vvn_vvd@
the	the	at
Escapist	escapist	nn1_jj
.	.	y
The	the	at
scene	scene	nn1
is	be	vbz
New	new	np1
York	york	np1
City	city	nn1
in	in	ii
the	the	at
1930s	1930s	mc2
and	and	cc
'	'	ge_"@
