##5995		
20:00-21:00		mcmc
PM	pm	np1
,	,	y
From	from	ii
NPR	npr	np1
News	news	nn1
,	,	y
this	this	dd1
is	be	vbz
ALL	all	db
THINGS	thing	nn2
CONSIDERED	consider	vvn
.	.	y
I	i	ppis1
?	?	y
m	m	zz1
Robert	robert	np1
Siegel	siegel	np1
.	.	y
This	this	dd1
evening	evening	nnt1
,	,	y
many	many	da2
public	public	jj
television	television	nn1
stations	station	nn2
will	will	vm
broadcast	broadcast	vvi
the	the	at
first	first	md
part	part	nn1
of	of	io
a	a	at1
new	new	jj
documentary	documentary	nn1
that	that	cst_dd1
explores	explore	vvz
the	the	at
impact	impact	nn1
of	of	io
childhood	childhood	nn1
cancer	cancer	nn1
on	on	ii
five	five	mc
families	family	nn2
in	in	ii
the	the	at
Midwest	midwest	np1_nn1@
.	.	y
A	a	at1
Lion	lion	nn1
in	in	ii
the	the	at
House	house	nn1
drew	draw	vvd
critical	critical	jj
praise	praise	nn1
when	when	cs_rrq
it	it	pph1
premiered	premier	vvd
at	at	ii
the	the	at
Sundance	sundance	np1_nn1@
Film	film	nn1
Festival	festival	nn1
earlier	early	rrr
this	this	dd1
year	year	nnt1
.	.	y
The	the	at
four-hour	four-hour	jj_nnt1
film	film	nn1
takes	take	vvz
an	a	at1
unflinching	unflinching	jj
look	look	nn1
at	at	ii
a	a	at1
subject	subject	nn1
that	that	cst
many	many	da2
viewers	viewer	nn2
may	may	vm
find	find	vvi
uncomfortable	uncomfortable	jj
.	.	y
From	from	ii
member	member	nn1
station	station	nn1
,	,	y
WCPN	wcpn	np1
,	,	y
David	david	np1
C.	c	np1
Barnett	barnett	np1
reports	report	vvz_nn2
.	.	y
@!DAVID-C-BARNETT-re		zzq
:	:	y
In	in	ii
many	many	da2
respects	respect	nn2
,	,	y
Tim	tim	np1
Woods	woods	np1
is	be	vbz
a	a	at1
typically	typically	rr
teenager	teenager	nn1
.	.	y
He	he	pphs1
has	have	vhz
endless	endless	jj
energy	energy	nn1
,	,	y
an	a	at1
easy	easy	jj
smile	smile	nn1
and	and	cc
a	a	at1
need	need	nn1
to	to	to
be	be	vbi
noticed	notice	vvn
.	.	y
@(Soundbite-of-A-Lio)		zzc
@!Mr-TIM-WOODS-@1Ame		zzq
:	:	y
I	i	ppis1
